year,month,mps_gc_1y,mps_gc_3m,mps_gc_jk,mps_gc_info,mps_all_1y,mps_all_tgt,n_gc,n_speech
2005,5,0.650000,0.250000,0.000000,0.650000,1.200000,0.025000,1,5
2005,6,2.404167,1.050000,2.404167,0.000000,4.677560,0.680769,1,13
2005,7,3.588889,0.625000,0.000000,3.588889,3.261270,0.700000,1,5
2005,8,0.310000,0.300000,0.310000,0.000000,0.310000,0.000000,1,0
2005,9,-1.950000,0.000000,-1.950000,0.000000,-2.262381,0.350000,1,6
2005,10,-0.707143,-0.200000,-0.707143,0.000000,-1.073476,-1.450000,1,11
2005,11,0.012000,-1.616667,0.000000,0.012000,3.713000,2.606085,1,8
2005,12,-2.983333,-1.966667,-2.983333,0.000000,-1.333244,-1.135000,1,4
2006,1,-3.121429,-1.737500,-3.121429,0.000000,-2.338571,-0.866667,1,4
2006,2,0.342857,-0.800000,0.000000,0.342857,1.073214,-0.044444,1,5
2006,3,2.850000,-0.100000,2.850000,0.000000,3.635000,-0.158673,1,8
2006,4,-8.987500,-8.100000,-8.987500,0.000000,-5.740595,2.014441,1,5
2006,5,0.866667,-0.500000,0.866667,0.000000,0.887500,-4.187728,1,11
2006,6,-2.760000,-3.800000,-2.760000,0.000000,-3.442871,-2.919081,1,7
2006,7,2.828571,1.731667,2.828571,0.000000,1.671904,-1.157692,1,7
2006,8,4.351786,1.033333,4.351786,0.000000,4.351786,1.000000,2,0
2006,9,0.000000,0.000000,0.000000,0.000000,0.689619,0.776589,0,8
2006,10,0.100000,0.100000,0.000000,0.100000,2.061666,0.489130,1,7
2006,11,0.171429,-0.333333,0.171429,0.000000,-1.024760,-1.052941,1,11
2006,12,3.751250,0.600000,0.000000,3.751250,3.440536,0.296064,1,3
2007,1,-5.487500,-2.860000,-5.487500,0.000000,-5.653690,-1.000000,1,4
2007,2,2.057143,0.350000,2.057143,0.000000,1.220000,0.350000,1,8
2007,3,1.014286,0.450000,0.000000,1.014286,3.488333,-2.112500,1,8
2007,4,-0.117500,-0.500000,0.000000,-0.117500,0.261071,0.433333,1,4
2007,5,-1.114286,0.000000,0.000000,-1.114286,-0.635120,0.187500,1,8
2007,6,-2.043333,-0.225000,0.000000,-2.043333,-3.881429,-6.255292,1,12
2007,7,0.792857,0.200000,0.792857,0.000000,1.359643,0.069328,1,8
2007,8,0.300000,0.483333,0.000000,0.300000,-0.945455,-0.775000,1,1
2007,9,-3.145455,-2.928571,-3.145455,0.000000,0.936592,-5.389203,1,8
2007,10,-0.900000,0.039000,0.000000,-0.900000,-3.895816,-1.301430,1,10
2007,11,-2.705000,-1.011111,0.000000,-2.705000,-6.274051,-1.773269,1,9
2007,12,4.912500,1.166667,4.912500,0.000000,2.818398,-0.898081,1,6
2008,1,-0.025000,-0.750000,0.000000,-0.025000,-5.745000,1.157738,1,6
2008,2,-7.908333,-2.940000,0.000000,-7.908333,-7.436667,2.462000,1,10
2008,3,4.940000,1.220000,4.940000,0.000000,9.166666,0.488655,1,6
2008,4,-0.700000,0.400000,-0.700000,0.000000,3.790239,4.611154,1,10
2008,5,-1.535714,-0.200000,0.000000,-1.535714,-1.015476,0.189286,1,7
2008,6,21.190000,10.866667,21.190000,0.000000,21.312381,1.984398,1,10
2008,7,-16.280000,-3.025000,-16.280000,0.000000,-14.646666,-2.341379,1,4
2008,8,-8.837500,-1.760000,0.000000,-8.837500,-10.008929,0.536364,1,1
2008,9,-0.250000,-0.883333,0.000000,-0.250000,-12.209880,-0.412793,1,15
2008,10,-7.500000,-12.245238,1.900000,-9.400000,1.541667,-4.581227,2,10
2008,11,14.533333,16.300000,14.533333,0.000000,-1.900833,3.154038,1,11
2008,12,9.350000,3.616667,9.350000,0.000000,13.325000,7.623806,1,5
2009,1,-0.360000,-0.975000,0.000000,-0.360000,3.503333,-10.878571,1,7
2009,2,-6.866667,-5.225000,0.000000,-6.866667,-10.750952,1.980372,1,9
2009,3,-0.716667,0.233333,-0.716667,0.000000,-0.666668,6.770291,1,8
2009,4,5.220000,6.440000,5.220000,0.000000,2.273333,5.531144,1,3
2009,5,-3.580000,-1.533333,0.000000,-3.580000,0.545000,8.379629,1,9
2009,6,6.000000,1.357143,0.000000,6.000000,9.548809,-2.238635,1,10
2009,7,-5.650000,-5.533333,0.000000,-5.650000,-7.643333,-8.156863,1,6
2009,8,0.583333,-0.525000,0.583333,0.000000,0.583333,-1.300000,1,0
2009,9,-5.740000,-1.866667,0.000000,-5.740000,-5.866667,0.474441,1,8
2009,10,-3.080000,-1.350000,0.000000,-3.080000,-6.653333,-2.935714,1,9
2009,11,-0.980000,-1.200000,-0.980000,0.000000,-1.467500,-3.228571,1,11
2009,12,-2.800000,-3.340000,-2.800000,0.000000,-0.999167,-2.542921,1,7
2010,1,-2.505556,-0.525000,0.000000,-2.505556,-5.268889,-0.344483,1,6
2010,2,-1.672222,-0.150000,0.000000,-1.672222,-1.423333,0.056324,1,5
2010,3,-1.568750,-0.425000,-1.568750,0.000000,-1.034305,-0.900586,1,9
2010,4,-0.200000,0.033333,0.000000,-0.200000,2.711944,-0.705195,1,9
2010,5,1.190000,0.440000,1.190000,0.000000,0.860139,1.330071,1,10
2010,6,0.350000,-0.840000,0.000000,0.350000,3.600714,-0.301525,1,12
2010,7,4.911111,2.885714,0.000000,4.911111,4.771945,1.846164,1,6
2010,8,-1.687500,-0.235714,0.000000,-1.687500,-1.687500,-0.300000,1,0
2010,9,-0.872727,-0.616667,0.000000,-0.872727,-1.582409,-4.606360,1,12
2010,10,-0.770000,-0.040000,-0.770000,0.000000,-0.067143,5.512789,1,12
2010,11,-0.987500,-0.650000,0.000000,-0.987500,-1.374801,1.971049,1,12
2010,12,-2.418182,-2.857143,0.000000,-2.418182,-1.395960,-3.024285,1,1
2011,1,6.128571,1.566667,6.128571,0.000000,10.163571,5.000050,1,6
2011,2,-4.412500,-2.762500,-4.412500,0.000000,1.621899,-16.755442,1,7
2011,3,16.037500,10.333333,16.037500,0.000000,20.675754,3.036847,1,13
2011,4,0.575000,1.700000,0.000000,0.575000,0.762302,-2.368849,1,5
2011,5,-12.388889,-7.062500,-12.388889,0.000000,-27.553453,-29.554144,1,17
2011,6,-3.757143,-0.033333,-3.757143,0.000000,-5.371857,3.135702,1,15
2011,7,1.466667,0.483333,0.000000,1.466667,-0.283333,-3.522547,1,2
2011,8,-18.200000,-11.100000,0.000000,-18.200000,-13.604762,-7.843636,1,2
2011,9,-3.188889,1.412500,0.000000,-3.188889,-5.047618,7.049617,1,7
