equation,block,block_held_at_1,h,lambda_h,tau_block,tau_pooled,d_fmar_ols,d_block_ols,d_pooled_ols,ratio_block,ratio_pooled
hicp,hicp,0,40,0.442494,3.18726,3.33825,0.685831,0.424494,0.38365,0.61895,0.55939
hicp,stoxx,0,40,0.442494,0.69263,1.08821,0.0294749,0.0300585,0.0291922,1.01980,0.99041
stoxx,mps,1,40,0.442494,1.00000,1.00000,79.9147,55.8529,55.6103,0.69891,0.69587
stoxx,i1y,0,40,0.442494,1.36212,1.49995,30.5109,30.1217,30.0705,0.98724,0.98556
stoxx,ip,0,40,0.442494,2.11584,2.13282,3.43167,2.93215,2.88467,0.85444,0.84060
stoxx,hicp,0,40,0.442494,0.25356,0.10983,6.66012,6.96851,7.11486,1.04630,1.06828
stoxx,stoxx,0,40,0.442494,1.58842,1.56920,0.405666,0.380414,0.381093,0.93775,0.93943
mps,mps,1,41,0.423832,1.00000,1.00000,0.137609,0.147896,0.150306,1.07475,1.09227
mps,i1y,0,41,0.423832,0.37501,0.02100,0.432673,0.43332,0.433551,1.00150,1.00203
mps,ip,0,41,0.423832,0.43444,0.04167,0.0137475,0.013913,0.0139782,1.01204,1.01678
mps,hicp,0,41,0.423832,0.29393,0.02392,0.0564693,0.0600397,0.0607504,1.06323,1.07581
mps,stoxx,0,41,0.423832,0.30247,0.04558,0.003534,0.0036515,0.00367791,1.03325,1.04072
i1y,mps,1,41,0.423832,1.00000,1.00000,2.46065,2.75456,2.61037,1.11944,1.06084
i1y,i1y,0,41,0.423832,2.01238,1.92486,2.38352,2.32828,2.33731,0.97682,0.98061
i1y,ip,0,41,0.423832,2.20603,2.31786,0.114549,0.102205,0.101128,0.89224,0.88284
i1y,hicp,0,41,0.423832,0.52542,0.58155,0.152532,0.171312,0.167545,1.12312,1.09842
i1y,stoxx,0,41,0.423832,1.28075,1.37423,0.0351223,0.0342825,0.0339216,0.97609,0.96582
ip,mps,1,41,0.423832,1.00000,1.00000,19.2427,16.8807,15.9996,0.87725,0.83146
ip,i1y,0,41,0.423832,1.02114,1.11344,8.49729,8.42091,8.40984,0.99101,0.98971
ip,ip,0,41,0.423832,1.54053,1.73623,1.06171,1.03937,1.01904,0.97895,0.95981
ip,hicp,0,41,0.423832,0.62739,0.53224,2.91269,3.06265,3.10288,1.05149,1.06530
ip,stoxx,0,41,0.423832,0.79801,0.83862,0.204837,0.206635,0.206454,1.00878,1.00789
hicp,mps,1,41,0.423832,1.00000,1.00000,3.6339,2.59561,1.90409,0.71427,0.52398
hicp,i1y,0,41,0.423832,3.98526,4.19041,2.03488,1.81483,1.79901,0.89186,0.88409
hicp,ip,0,41,0.423832,3.95259,4.67859,0.235498,0.141713,0.118264,0.60176,0.50219
hicp,hicp,0,41,0.423832,3.39215,3.40641,0.65716,0.369658,0.345248,0.56251,0.52536
hicp,stoxx,0,41,0.423832,0.65852,1.15932,0.0238333,0.0240574,0.0227915,1.00940,0.95629
