scale_estimator,equation,block,null_mean,q90,q95,q99,argmax_freq,pgt1_mean,pgt1_q95,eq_maxstat_q95,eq_pflag_q95,eq_coverage_under_null
block,mps,mps,1.0000,1.0000,1.0000,1.0000,0.9440,0.0000,0.0000,1.0042,0.3348,0.9893
block,mps,i1y,0.6299,0.7820,0.8361,0.9024,0.0020,0.1828,0.2733,1.0042,0.3348,0.9893
block,mps,ip,0.6846,0.8462,0.8929,0.9884,0.0080,0.2065,0.2956,1.0042,0.3348,0.9893
block,mps,hicp,0.6733,0.8616,0.9481,1.1573,0.0280,0.2064,0.3233,1.0042,0.3348,0.9893
block,mps,stoxx,0.6959,0.8798,0.9479,1.0425,0.0180,0.2147,0.3208,1.0042,0.3348,0.9893
block,i1y,mps,1.0000,1.0000,1.0000,1.0000,0.0400,0.0000,0.0000,6.2970,0.9630,0.9285
block,i1y,i1y,2.0938,4.3284,5.7477,11.1296,0.3020,0.4794,0.8613,6.2970,0.9630,0.9285
block,i1y,ip,1.7692,3.4031,4.7636,8.1698,0.1920,0.4617,0.8499,6.2970,0.9630,0.9285
block,i1y,hicp,1.5342,2.5502,3.0717,4.5692,0.2320,0.5438,0.9460,6.2970,0.9630,0.9285
block,i1y,stoxx,1.7679,3.2222,4.2110,6.6225,0.2340,0.5170,0.9113,6.2970,0.9630,0.9285
block,ip,mps,1.0000,1.0000,1.0000,1.0000,0.0340,0.0000,0.0000,5.4825,0.9757,0.9438
block,ip,i1y,1.9427,3.7113,4.9766,7.9183,0.2240,0.4659,0.8210,5.4825,0.9757,0.9438
block,ip,ip,1.8290,3.2180,4.3438,8.5064,0.1980,0.4644,0.8199,5.4825,0.9757,0.9438
block,ip,hicp,1.7470,2.9106,3.3997,4.8121,0.3100,0.6167,0.9744,5.4825,0.9757,0.9438
block,ip,stoxx,1.6462,2.9908,3.6224,4.9470,0.2340,0.4992,0.8814,5.4825,0.9757,0.9438
block,hicp,mps,1.0000,1.0000,1.0000,1.0000,0.0020,0.0000,0.0000,7.0262,0.9994,0.9811
block,hicp,i1y,2.6249,4.6584,6.0762,8.6510,0.2300,0.6259,0.9154,7.0262,0.9994,0.9811
block,hicp,ip,1.8137,3.2143,4.4878,6.2842,0.0640,0.4928,0.8330,7.0262,0.9994,0.9811
block,hicp,hicp,3.3771,5.2541,6.0257,8.0160,0.6360,0.8661,0.9994,7.0262,0.9994,0.9811
block,hicp,stoxx,1.8584,3.1946,4.2926,6.2092,0.0680,0.5317,0.8767,7.0262,0.9994,0.9811
block,stoxx,mps,1.0000,1.0000,1.0000,1.0000,0.0300,0.0000,0.0000,7.3236,0.9644,0.9547
block,stoxx,i1y,2.1009,4.0201,5.5575,9.1759,0.1960,0.4783,0.8575,7.3236,0.9644,0.9547
block,stoxx,ip,2.2632,4.4343,5.9307,9.6701,0.2840,0.5449,0.8869,7.3236,0.9644,0.9547
block,stoxx,hicp,1.5822,2.5974,3.2369,4.4163,0.1900,0.5468,0.9456,7.3236,0.9644,0.9547
block,stoxx,stoxx,2.1560,3.9718,4.6851,7.8944,0.3000,0.5825,0.9315,7.3236,0.9644,0.9547
pooled,mps,mps,1.0000,1.0000,1.0000,1.0000,0.9940,0.0000,0.0000,1.0000,0.0412,0.9895
pooled,mps,i1y,0.1237,0.2266,0.2488,0.3184,0.0000,0.0010,0.0044,1.0000,0.0412,0.9895
pooled,mps,ip,0.1538,0.2512,0.2940,0.3712,0.0000,0.0019,0.0093,1.0000,0.0412,0.9895
pooled,mps,hicp,0.2121,0.3456,0.4160,0.6208,0.0060,0.0105,0.0302,1.0000,0.0412,0.9895
pooled,mps,stoxx,0.1721,0.2854,0.3244,0.4944,0.0000,0.0029,0.0139,1.0000,0.0412,0.9895
pooled,i1y,mps,1.0000,1.0000,1.0000,1.0000,0.1580,0.0000,0.0000,7.6961,1.0000,0.9273
pooled,i1y,i1y,2.1428,5.5093,7.2710,15.3359,0.2780,0.4341,0.9999,7.6961,1.0000,0.9273
pooled,i1y,ip,1.7270,4.3761,5.6979,9.1168,0.1540,0.4223,0.9991,7.6961,1.0000,0.9273
pooled,i1y,hicp,1.5770,3.0220,3.6419,5.5034,0.2140,0.5822,0.9997,7.6961,1.0000,0.9273
pooled,i1y,stoxx,1.8176,4.0136,5.3220,7.7606,0.1960,0.5283,1.0000,7.6961,1.0000,0.9273
pooled,ip,mps,1.0000,1.0000,1.0000,1.0000,0.1080,0.0000,0.0000,7.3547,1.0000,0.9413
pooled,ip,i1y,1.8519,4.9419,6.2737,10.1271,0.2000,0.4087,0.9968,7.3547,1.0000,0.9413
pooled,ip,ip,1.7809,4.3426,5.6923,7.7982,0.1780,0.4420,0.9965,7.3547,1.0000,0.9413
pooled,ip,hicp,1.8270,3.3182,3.8791,6.1339,0.3200,0.6709,1.0000,7.3547,1.0000,0.9413
pooled,ip,stoxx,1.6724,3.5028,4.4891,7.3018,0.1940,0.5066,0.9986,7.3547,1.0000,0.9413
pooled,hicp,mps,1.0000,1.0000,1.0000,1.0000,0.0260,0.0000,0.0000,8.3164,1.0000,0.9807
pooled,hicp,i1y,3.0484,6.1773,7.5851,10.6740,0.2460,0.7159,0.9992,8.3164,1.0000,0.9807
pooled,hicp,ip,2.0549,4.7969,6.1071,8.9567,0.0760,0.5322,0.9996,8.3164,1.0000,0.9807
pooled,hicp,hicp,3.9935,6.1914,7.6450,9.8816,0.5900,0.9554,1.0000,8.3164,1.0000,0.9807
pooled,hicp,stoxx,2.0756,4.2934,5.6189,9.5562,0.0620,0.5863,0.9996,8.3164,1.0000,0.9807
pooled,stoxx,mps,1.0000,1.0000,1.0000,1.0000,0.0720,0.0000,0.0000,8.5314,1.0000,0.9529
pooled,stoxx,i1y,2.1562,5.2825,6.8523,11.3056,0.1800,0.4437,0.9958,8.5314,1.0000,0.9529
pooled,stoxx,ip,2.5344,5.6522,7.1785,11.9987,0.2580,0.5937,0.9999,8.5314,1.0000,0.9529
pooled,stoxx,hicp,1.6409,3.1749,3.9444,5.1082,0.2040,0.5887,1.0000,8.5314,1.0000,0.9529
pooled,stoxx,stoxx,2.3614,4.7412,6.0880,9.9608,0.2860,0.6385,0.9997,8.5314,1.0000,0.9529
