Date_time,Event_type,Days_until_next_GC,Non_regular_trading_day,Outside_regular_trading_hours,OIS_1M,OIS_2M,OIS_3M,OIS_6M,OIS_1Y,OIS_2Y,STOXX50E
1999-05-11 10:45:00,EB,9,0,0,,,-0.400000,-0.600000,-0.900000,,-0.232432
1999-05-12 11:45:00,EB,8,0,0,,,,,,,0.170899
1999-05-13 17:00:00,EB,7,0,0,,,,,-1.500000,,-0.021113
1999-05-13 19:30:00,EB,7,0,1,,,,,,,
1999-05-17 17:00:00,EB,3,0,0,,0.000000,,0.000000,-0.100000,,-0.100622
1999-05-20 13:45:00,GC_ME,0,0,0,,,0.000000,0.000000,0.000000,,-0.102918
1999-05-20 13:45:00,GC_PR,0,0,0,,,0.000000,0.000000,0.000000,,-0.020148
1999-05-20 14:30:00,GC_PC,0,0,0,,,0.000000,0.000000,0.000000,,-0.052303
1999-05-20 18:30:00,P,13,0,1,,,,,1.000000,,
1999-05-26 16:00:00,P,7,0,0,,,0.000000,0.000000,0.000000,,-0.450974
1999-05-26 17:40:00,EB,7,0,1,,,0.000000,0.000000,0.000000,,
1999-05-27 19:30:00,EB,6,0,1,,,,,,,
1999-05-31 18:00:00,EB,2,0,1,,,,,,,
1999-06-02 13:45:00,GC_ME,0,0,0,0.500000,0.000000,-1.000000,0.500000,0.000000,,0.100944
1999-06-02 13:45:00,GC_PR,0,0,0,0.500000,0.000000,0.000000,-1.000000,0.000000,,0.179210
1999-06-02 14:30:00,GC_PC,0,0,0,0.500000,0.000000,-1.000000,1.500000,0.000000,,-0.038940
1999-06-03 09:15:00,P,14,0,1,0.000000,0.000000,-0.500000,-1.333333,-1.000000,,
1999-06-03 11:15:00,EB,14,0,0,,0.500000,0.000000,0.500000,-1.000000,,0.033533
1999-06-07 11:30:00,EB,10,0,0,,0.000000,-0.500000,0.000000,0.000000,,0.365646
1999-06-10 08:45:00,EB,7,0,1,0.500000,,0.000000,-1.000000,1.000000,,
1999-06-10 11:30:00,EB,7,0,0,-0.500000,0.000000,0.000000,-1.000000,0.000000,,
1999-06-10 11:30:00,EB,7,0,0,-0.500000,0.000000,0.000000,-1.000000,0.000000,,
1999-06-10 18:00:00,EB,7,0,1,0.000000,,0.000000,0.500000,0.000000,,
1999-06-11 11:15:00,EB,6,0,0,-0.500000,1.000000,1.000000,1.500000,-0.500000,,-0.101061
1999-06-11 11:30:00,EB,6,0,0,-2.000000,1.000000,0.000000,0.000000,1.500000,,-0.156026
1999-06-11 14:15:00,EB,6,0,0,-3.500000,,-2.000000,-0.500000,-0.500000,,0.392664
1999-06-17 13:45:00,GC_ME,0,0,0,1.000000,,,1.000000,0.500000,,-0.353650
1999-06-17 13:45:00,GC_PR,0,0,0,1.000000,,,0.500000,0.500000,,-0.295191
1999-06-17 14:30:00,GC_PC,0,0,0,0.000000,,,0.500000,1.000000,,-0.206491
1999-06-17 17:00:00,EB,14,0,0,,,,-1.000000,-2.000000,,
1999-06-18 13:00:00,EB,13,0,0,,0.000000,0.000000,0.000000,1.000000,,0.276874
1999-06-21 12:45:00,EB,10,0,0,,,0.000000,0.000000,0.000000,,0.012653
1999-06-23 12:00:00,EB,8,0,0,1.500000,,0.500000,0.000000,0.000000,,-0.152017
1999-06-23 13:20:00,EB,8,0,0,,,1.000000,0.000000,1.000000,,0.177667
1999-06-24 16:00:00,EB,7,0,0,,,-0.500000,1.000000,1.000000,,-0.041950
1999-06-28 10:30:00,EB,3,0,0,-0.500000,0.000000,0.000000,0.000000,-1.500000,,0.258861
1999-06-30 11:30:00,EB,1,0,0,0.500000,0.500000,0.000000,0.000000,1.000000,,-0.305843
1999-07-01 13:45:00,GC_ME,0,0,0,,,0.500000,1.500000,3.500000,,-0.276910
1999-07-01 13:45:00,GC_PR,0,0,0,,,2.000000,1.000000,2.250000,,-0.020904
1999-07-01 14:30:00,GC_PC,0,0,0,0.000000,,,-0.000000,1.500000,,-0.203252
1999-07-01 18:00:00,EB,14,0,1,,0.000000,0.000000,-1.500000,-1.500000,,
1999-07-02 11:30:00,EB,13,0,0,,0.000000,1.500000,1.500000,-0.250000,,0.008018
1999-07-02 14:00:00,EB,13,0,0,,,-0.500000,-1.750000,-0.500000,,0.094677
1999-07-07 07:45:00,EB,8,0,1,,-1.500000,1.000000,0.000000,0.500000,,
1999-07-08 07:45:00,EB,7,0,1,,,,0.000000,1.500000,,
1999-07-09 11:00:00,EB,6,0,0,13.000000,,29.000000,-0.750000,-0.000000,,0.072280
1999-07-15 13:45:00,GC_ME,0,0,0,,,0.500000,2.500000,5.250000,,0.555298
1999-07-15 13:45:00,GC_PR,0,0,0,,0.000000,0.000000,-2.000000,-0.500000,,0.068684
1999-07-15 14:30:00,GC_PC,0,0,0,,,0.500000,2.500000,6.500000,,0.503589
1999-07-19 07:00:00,EB,10,0,1,,,,,,,
1999-07-19 14:00:00,EB,10,0,0,,,,2.000000,1.000000,,0.213569
1999-07-23 11:00:00,EB,6,0,0,,,36.000000,-0.500000,0.000000,,-0.144141
1999-07-29 13:45:00,GC_ME,0,0,0,,0.000000,0.000000,0.000000,-1.000000,,-1.585166
1999-07-29 13:45:00,GC_PR,0,0,0,0.000000,,0.000000,-0.500000,-0.500000,,-0.072202
1999-07-29 14:30:00,GC_PC,0,0,0,,0.000000,0.000000,0.000000,-0.500000,,-1.544776
1999-08-06 14:00:00,EB,20,0,0,,,0.000000,0.000000,101.000000,,-0.940438
1999-08-21 09:00:00,EB,5,1,1,,,,,,,
1999-08-26 13:45:00,GC_ME,0,0,0,0.500000,0.000000,0.000000,-0.500000,0.000000,,0.336694
1999-08-26 13:45:00,GC_PR,0,0,0,-1.000000,0.000000,0.000000,0.000000,0.000000,,-0.235321
1999-08-26 14:30:00,GC_PC,0,0,0,0.000000,-1.000000,0.500000,0.000000,-0.500000,,0.519537
1999-09-01 18:00:00,EB,8,0,1,0.000000,0.000000,0.000000,-0.500000,-0.500000,,
1999-09-08 11:15:00,EB,1,0,0,,,,-0.500000,-0.500000,,-0.150013
1999-09-09 13:45:00,GC_ME,0,0,0,-0.750000,,-4.000000,-1.000000,0.000000,,0.003122
1999-09-09 13:45:00,GC_PR,0,0,0,-2.500000,,-4.250000,-3.500000,-3.000000,,0.116572
1999-09-09 14:30:00,GC_PC,0,0,0,-1.000000,,0.000000,-1.000000,-26.000000,,-0.195287
1999-09-10 10:10:00,EB,13,0,0,,,,-2.000000,-1.000000,,0.411230
1999-09-10 10:30:00,EB,13,0,0,,,,-2.000000,-2.500000,,0.072978
1999-09-10 11:00:00,P,13,0,0,,,,-1.000000,-1.000000,,-0.114504
1999-09-13 17:00:00,EB,10,0,0,-4.000000,0.000000,0.000000,-0.500000,5.000000,,
1999-09-18 15:00:00,EB,5,1,0,,,,,,,
1999-09-20 11:15:00,EB,3,0,0,,,,-1.000000,0.000000,,0.125236
1999-09-23 13:45:00,GC_ME,0,0,0,-8.000000,-3.500000,-2.000000,-0.500000,-1.000000,,-0.081230
1999-09-23 13:45:00,GC_PR,0,0,0,-4.500000,0.000000,-0.500000,-0.500000,-1.000000,,0.251948
1999-09-23 14:30:00,GC_PC,0,0,0,-3.500000,-3.500000,-1.500000,0.000000,0.000000,,-0.300292
1999-09-24 13:30:00,EB,13,0,0,,,,0.500000,0.500000,,-0.119194
1999-09-25 02:15:00,EB,12,1,1,,,,,,,
1999-09-25 13:30:00,EB,12,1,0,,,,,,,
1999-09-26 21:00:00,P,11,1,1,,,,,,,
1999-09-27 15:00:00,EB,10,0,0,,,0.000000,0.500000,0.500000,,0.020438
1999-09-28 18:30:00,EB,9,0,1,,,,0.000000,0.000000,,
1999-09-29 19:00:00,EB,8,0,1,,,,,,,
1999-10-01 11:10:00,EB,6,0,0,1.000000,1.000000,0.500000,-1.000000,-0.500000,,0.130794
1999-10-01 14:45:00,P,6,0,0,-2.000000,-1.500000,0.500000,3.000000,3.500000,,-0.446633
1999-10-07 13:45:00,GC_ME,0,0,0,-15.500000,-12.500000,-7.500000,-5.000000,-7.875000,,-0.269924
1999-10-07 13:45:00,GC_PR,0,0,0,-8.000000,-9.500000,-5.500000,-3.000000,-3.875000,,-0.140646
1999-10-07 14:30:00,GC_PC,0,0,0,-5.000000,-4.500000,-3.000000,-2.875000,-4.250000,,-0.080257
1999-10-09 10:00:00,EB,12,1,0,,,,,,,
1999-10-09 11:15:00,EB,12,1,0,,,,,,,
1999-10-11 12:25:00,P,10,0,0,1.000000,-24.250000,0.500000,0.500000,0.000000,,0.008724
1999-10-13 16:00:00,EB,8,0,0,0.500000,,0.500000,-1.000000,0.500000,,-0.162438
1999-10-13 16:30:00,P,8,0,0,0.500000,,-1.500000,-1.000000,0.500000,,-0.248928
1999-10-13 20:45:00,EB,8,0,1,,,,,,,
1999-10-14 09:50:00,EB,7,0,0,-1.000000,-0.250000,-0.500000,0.000000,0.500000,,0.570415
1999-10-14 11:00:00,EB,7,0,0,2.000000,3.000000,0.500000,0.500000,1.500000,,-0.307235
1999-10-14 20:00:00,EB,7,0,1,,,,,,,
1999-10-15 10:00:00,P,6,0,0,0.500000,1.000000,-11.000000,1.500000,-3.000000,,-0.245126
1999-10-18 19:00:00,EB,3,0,1,,,,,,,
1999-10-21 13:45:00,GC_ME,0,0,0,-7.500000,-5.500000,-0.500000,0.000000,-0.250000,,-0.885684
1999-10-21 13:45:00,GC_PR,0,0,0,-9.500000,-6.500000,-4.000000,-1.000000,-3.625000,,-0.323371
1999-10-21 14:30:00,GC_PC,0,0,0,1.000000,1.000000,5.000000,1.250000,2.000000,,-0.224736
1999-10-25 10:50:00,EB,10,0,0,,,0.500000,1.500000,1.000000,,0.118501
1999-10-25 14:00:00,EB,10,0,0,0.500000,2.500000,2.000000,1.500000,1.000000,,-0.434952
1999-10-25 14:00:00,EB,10,0,0,0.500000,2.500000,2.000000,1.500000,1.000000,,-0.434952
1999-10-25 18:00:00,EB,10,0,1,,,,,1.000000,,
1999-10-26 17:00:00,EB,9,0,0,,,0.000000,0.000000,0.500000,,
1999-10-26 20:00:00,EB,9,0,1,,,,,,,
1999-10-28 14:30:00,EB,7,0,0,,,0.000000,0.000000,-1.000000,,1.335614
1999-10-29 15:15:00,EB,6,0,0,2.500000,2.000000,0.000000,0.500000,1.000000,,0.562961
1999-10-30 12:15:00,EB,5,1,0,,,,,,,
1999-11-04 13:45:00,GC_ME,0,0,0,,6.500000,1.500000,2.500000,1.000000,,0.531028
1999-11-04 13:45:00,GC_PR,0,0,0,10.666667,6.250000,1.250000,5.000000,4.000000,,-0.007532
1999-11-04 14:30:00,GC_PC,0,0,0,,-2.000000,-1.500000,-2.500000,-2.000000,,0.455614
1999-11-05 09:00:00,EB,13,0,1,0.000000,-1.500000,0.000000,1.000000,0.500000,,
1999-11-05 15:30:00,P,13,0,0,0.000000,0.500000,1.500000,-0.500000,0.500000,,-0.032593
1999-11-05 18:15:00,P,13,0,1,,,,0.000000,-1.000000,,
1999-11-08 20:00:00,EB,10,0,1,,,,,,,
1999-11-09 18:15:00,EB,9,0,1,,,0.000000,,-1.000000,,
1999-11-11 09:30:00,EB,7,0,0,0.500000,0.500000,0.500000,2.000000,0.500000,,0.712154
1999-11-11 12:15:00,EB,7,0,0,,,,,-1.000000,,0.148913
1999-11-11 13:30:00,EB,7,0,0,,,-4.000000,,-2.500000,,-0.044988
1999-11-11 15:00:00,EB,7,0,0,,,2.000000,0.000000,0.000000,,0.354221
1999-11-11 16:30:00,EB,7,0,0,,,0.500000,0.000000,0.500000,,0.465340
1999-11-11 17:30:00,P,7,0,1,,,0.000000,,0.000000,,
1999-11-12 09:30:00,EB,6,0,0,1.000000,1.000000,0.000000,0.500000,0.500000,,0.340304
1999-11-12 12:15:00,EB,6,0,0,1.000000,0.000000,0.000000,-0.500000,-1.000000,,0.175867
1999-11-15 14:15:00,EB,3,0,0,,,,0.000000,0.500000,,0.316108
1999-11-15 19:40:00,EB,3,0,1,,,,,,,
1999-11-16 16:00:00,EB,2,0,0,,,,,0.500000,,0.352457
1999-11-18 13:45:00,GC_ME,0,0,0,0.000000,0.000000,0.400000,-0.000000,-0.400000,,0.269278
1999-11-18 13:45:00,GC_PR,0,0,0,0.000000,0.000000,0.500000,0.250000,-0.350000,,0.037897
1999-11-18 14:30:00,GC_PC,0,0,0,-0.100000,0.000000,0.000000,0.000000,-0.600000,,0.287927
1999-11-19 10:00:00,P,13,0,0,0.500000,0.000000,-0.500000,-0.500000,0.000000,-0.500000,-0.246710
1999-11-19 12:30:00,EB,13,0,0,,0.000000,0.000000,0.000000,-0.200000,-0.100000,0.040048
1999-11-22 19:30:00,EB,10,0,1,,,,,,,
1999-11-23 14:00:00,P,9,0,0,1.600000,0.000000,0.000000,0.000000,0.500000,0.950000,0.269709
1999-11-24 20:30:00,EB,8,0,1,,,,,,,
1999-11-25 13:30:00,EB,7,0,0,0.000000,0.000000,0.000000,0.200000,-0.300000,0.000000,0.214302
1999-11-25 13:30:00,EB,7,0,0,0.000000,0.000000,0.000000,0.200000,-0.300000,0.000000,0.214302
1999-11-25 18:30:00,EB,7,0,1,,,,,,,
1999-11-25 21:30:00,P,7,0,1,,,,,,,
1999-11-27 16:30:00,EB,5,1,0,,,,,,,
1999-11-29 15:00:00,P,3,0,0,-0.300000,,0.000000,0.700000,0.500000,1.200000,-0.696325
1999-12-02 13:45:00,GC_ME,0,0,0,1.000000,,,0.000000,0.400000,0.600000,0.141113
1999-12-02 13:45:00,GC_PR,0,0,0,,,,0.700000,0.500000,0.800000,0.140422
1999-12-02 14:30:00,GC_PC,0,0,0,1.000000,,,0.000000,-0.350000,-0.500000,0.064973
1999-12-03 09:00:00,P,12,0,1,0.500000,0.000000,-0.750000,-0.500000,-1.500000,-0.900000,
1999-12-03 15:30:00,EB,12,0,0,0.000000,0.000000,0.400000,-0.300000,0.100000,-0.500000,0.181696
1999-12-06 10:00:00,EB,9,0,0,0.000000,0.000000,0.400000,-0.500000,0.200000,0.000000,-0.160989
1999-12-09 11:00:00,EB,6,0,0,0.000000,1.000000,1.000000,0.000000,0.500000,1.000000,-0.193161
1999-12-10 10:00:00,EB,5,0,0,-1.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,-0.555915
1999-12-15 13:45:00,GC_ME,0,0,0,,,,0.000000,-0.700000,-1.033333,-0.124698
1999-12-15 13:45:00,GC_PR,0,0,0,,,,1.000000,-0.100000,-0.300000,0.102127
1999-12-15 14:30:00,GC_PC,0,0,0,,,,0.000000,-0.600000,-0.666667,-0.237284
1999-12-15 16:00:00,EB,21,0,0,0.000000,-1.000000,,0.000000,-0.500000,-1.500000,-0.023941
