dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1
correct,block,3,2,9,0.8967867021,0.610116998,0.3006875
correct,block,3,2,10,0.9837902999,0.704467111,0.337
correct,block,3,2,11,1.063788587,0.7617461751,0.3676875
correct,block,3,2,12,1.117817717,0.7960664555,0.3890625
correct,block,3,3,1,0.5726904366,0.3953434125,0.1513125
correct,block,3,3,2,0.6218731636,0.4272162586,0.17225
correct,block,3,3,3,0.6819053503,0.4734049108,0.20275
correct,block,3,3,4,0.7324336009,0.5182991933,0.22775
correct,block,3,3,5,0.7420333403,0.5284230828,0.2419375
correct,block,3,3,6,0.8328785139,0.5925002793,0.2815
correct,block,3,3,7,0.9811953058,0.7033288381,0.334125
correct,block,3,3,8,0.9402692853,0.672039423,0.318875
correct,block,3,3,9,0.9452265364,0.6761631107,0.324375
correct,block,3,3,10,0.9697590608,0.6917281446,0.3333125
correct,block,3,3,11,0.9108938751,0.6384575904,0.309125
correct,block,3,3,12,0.9620578109,0.6690099218,0.33025
correct,pooled,1,1,1,0.3602020027,0.3108356161,0.0428125
correct,pooled,1,1,2,0.3526019564,0.3071378943,0.0403125
correct,pooled,1,1,3,0.3552353938,0.3133917049,0.042875
correct,pooled,1,1,4,0.3648857498,0.321301258,0.052125
correct,pooled,1,1,5,0.3809248178,0.3407724107,0.0608125
correct,pooled,1,1,6,0.4008683525,0.3579304349,0.077
correct,pooled,1,1,7,0.4265345627,0.3797886823,0.1005625
correct,pooled,1,1,8,0.455876998,0.4058664464,0.1284375
correct,pooled,1,1,9,0.485166679,0.433509241,0.1516875
correct,pooled,1,1,10,0.513916064,0.4536609654,0.1725
correct,pooled,1,1,11,0.5362702499,0.4681864326,0.1855625
correct,pooled,1,1,12,0.5603594955,0.4779840682,0.193375
correct,pooled,1,2,1,0.3030602561,0.2498175969,0.0270625
correct,pooled,1,2,2,0.2907605366,0.2431723463,0.022625
correct,pooled,1,2,3,0.2880175552,0.2429817183,0.0221875
correct,pooled,1,2,4,0.2869899586,0.2444281439,0.0240625
correct,pooled,1,2,5,0.2897937724,0.2474572704,0.0275625
correct,pooled,1,2,6,0.2936227746,0.2502856095,0.033
correct,pooled,1,2,7,0.3005708192,0.254710921,0.039875
correct,pooled,1,2,8,0.3141502733,0.2653086954,0.052375
correct,pooled,1,2,9,0.3258982581,0.2758353275,0.0631875
correct,pooled,1,2,10,0.3397359974,0.2830872497,0.0735625
correct,pooled,1,2,11,0.3579273408,0.2921353429,0.086625
correct,pooled,1,2,12,0.3745638523,0.2974060945,0.0961875
correct,pooled,1,3,1,0.3321786374,0.2814581362,0.0366875
correct,pooled,1,3,2,0.3218718842,0.2781576893,0.03275
correct,pooled,1,3,3,0.3226975532,0.2819688408,0.036125
correct,pooled,1,3,4,0.33473678,0.2942601799,0.0445625
correct,pooled,1,3,5,0.3570553748,0.3154845712,0.0628125
correct,pooled,1,3,6,0.3845860029,0.3429079919,0.0865
correct,pooled,1,3,7,0.4087027209,0.3657185893,0.106625
correct,pooled,1,3,8,0.4316625793,0.3821228549,0.1253125
correct,pooled,1,3,9,0.4527027647,0.3987430933,0.1401875
correct,pooled,1,3,10,0.4729018349,0.4136527267,0.1531875
correct,pooled,1,3,11,0.4931498389,0.4324347559,0.1660625
correct,pooled,1,3,12,0.5119654459,0.4396417522,0.172875
correct,pooled,2,1,1,0.3207367951,0.2722803001,0.0375
correct,pooled,2,1,2,0.3121499603,0.2684383291,0.035625
correct,pooled,2,1,3,0.3130179844,0.2731638896,0.0394375
correct,pooled,2,1,4,0.3212928189,0.2848209982,0.0506875
correct,pooled,2,1,5,0.3380385734,0.2998537381,0.068625
correct,pooled,2,1,6,0.3599393376,0.3213064772,0.0891875
correct,pooled,2,1,7,0.3864654952,0.3419575324,0.1099375
correct,pooled,2,1,8,0.4073003706,0.3625485252,0.1283125
correct,pooled,2,1,9,0.4306907307,0.3844984331,0.1464375
correct,pooled,2,1,10,0.4472245691,0.3968985691,0.1590625
correct,pooled,2,1,11,0.464272969,0.4056101329,0.168
correct,pooled,2,1,12,0.4813619168,0.4079116206,0.1725625
correct,pooled,2,2,1,0.3171247741,0.2700629314,0.03025
correct,pooled,2,2,2,0.3069485492,0.2670362507,0.0270625
correct,pooled,2,2,3,0.3079549172,0.2698081117,0.03
correct,pooled,2,2,4,0.3148570317,0.2765678703,0.039
correct,pooled,2,2,5,0.3270457578,0.2869430705,0.0496875
correct,pooled,2,2,6,0.3383520181,0.2985469601,0.06325
correct,pooled,2,2,7,0.3538727039,0.3122833403,0.07875
correct,pooled,2,2,8,0.369842501,0.3240871853,0.0855
correct,pooled,2,2,9,0.3880844883,0.3406867179,0.0953125
correct,pooled,2,2,10,0.4074165312,0.3555888719,0.10725
correct,pooled,2,2,11,0.4232184609,0.364792323,0.1165625
correct,pooled,2,2,12,0.4378623567,0.3688721968,0.122625
correct,pooled,2,3,1,0.3114107473,0.267929868,0.0255
correct,pooled,2,3,2,0.3005092476,0.2646585816,0.0225625
correct,pooled,2,3,3,0.2971014244,0.2631000747,0.022625
correct,pooled,2,3,4,0.3035208445,0.270433561,0.0270625
correct,pooled,2,3,5,0.3146321613,0.2772304674,0.0378125
correct,pooled,2,3,6,0.3298995498,0.2911663751,0.051875
correct,pooled,2,3,7,0.3476355158,0.3089536499,0.0706875
correct,pooled,2,3,8,0.3656267189,0.3231549021,0.082
correct,pooled,2,3,9,0.3852951543,0.3385362189,0.0953125
correct,pooled,2,3,10,0.4068786085,0.3545251829,0.110875
correct,pooled,2,3,11,0.4222354106,0.3628291947,0.1226875
correct,pooled,2,3,12,0.4404655493,0.3679424213,0.1294375
correct,pooled,3,1,1,0.3644270784,0.3147744916,0.044375
