dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1
sparse,block,3,2,6,0.8786539553,0.6419440546,0.3003125
sparse,block,3,2,7,0.9889241134,0.7420748931,0.35275
sparse,block,3,2,8,0.9589634239,0.7187078352,0.340625
sparse,block,3,2,9,1.015676605,0.7512001672,0.3595625
sparse,block,3,2,10,0.9977817799,0.7284152372,0.3568125
sparse,block,3,2,11,0.9289956441,0.6587148999,0.318875
sparse,block,3,2,12,0.8970166242,0.6309002844,0.3035
sparse,block,3,3,1,0.5461512004,0.3691973039,0.1423125
sparse,block,3,3,2,0.5079553153,0.3361785632,0.12575
sparse,block,3,3,3,0.6341665864,0.4532049902,0.18025
sparse,block,3,3,4,0.7278630227,0.510152726,0.2229375
sparse,block,3,3,5,0.7337709957,0.5292580713,0.228625
sparse,block,3,3,6,0.7992805223,0.5908284644,0.268
sparse,block,3,3,7,0.9284840402,0.6886260018,0.3210625
sparse,block,3,3,8,0.9320247148,0.696608369,0.3255
sparse,block,3,3,9,1.00300446,0.7416612879,0.354875
sparse,block,3,3,10,1.070580405,0.7925264401,0.373375
sparse,block,3,3,11,1.032369117,0.7615305182,0.3665
sparse,block,3,3,12,1.005278925,0.7358947992,0.348
sparse,pooled,1,1,1,0.3037820713,0.2623792892,0.021
sparse,pooled,1,1,2,0.2899896005,0.2537818557,0.017875
sparse,pooled,1,1,3,0.2910127466,0.2585508097,0.01925
sparse,pooled,1,1,4,0.2955012711,0.2635129209,0.0245
sparse,pooled,1,1,5,0.3070984696,0.2740432718,0.0316875
sparse,pooled,1,1,6,0.3204967641,0.2883761405,0.0390625
sparse,pooled,1,1,7,0.3391923686,0.3026520617,0.05225
sparse,pooled,1,1,8,0.3613130468,0.3163405995,0.072375
sparse,pooled,1,1,9,0.3850671776,0.339457089,0.095
sparse,pooled,1,1,10,0.4037471578,0.350969006,0.1088125
sparse,pooled,1,1,11,0.4269949064,0.3663706853,0.1214375
sparse,pooled,1,1,12,0.4448223497,0.367664102,0.127
sparse,pooled,1,2,1,0.3056890741,0.26074253,0.0321875
sparse,pooled,1,2,2,0.2960164397,0.2585103649,0.0295625
sparse,pooled,1,2,3,0.2991224261,0.262744972,0.0348125
sparse,pooled,1,2,4,0.3104242774,0.2763454069,0.04425
sparse,pooled,1,2,5,0.3275830733,0.2921748443,0.0595625
sparse,pooled,1,2,6,0.3476417143,0.3127406262,0.0806875
sparse,pooled,1,2,7,0.3759608302,0.3342561935,0.1055
sparse,pooled,1,2,8,0.4015281526,0.3572354562,0.126
sparse,pooled,1,2,9,0.4313879905,0.3849356819,0.1465625
sparse,pooled,1,2,10,0.4565137918,0.399637205,0.154625
sparse,pooled,1,2,11,0.4825386717,0.4183804102,0.161
sparse,pooled,1,2,12,0.5067051682,0.423634824,0.165375
sparse,pooled,1,3,1,0.3169602053,0.272865743,0.0231875
sparse,pooled,1,3,2,0.3041386546,0.2671037301,0.017875
sparse,pooled,1,3,3,0.3069779386,0.2692296839,0.0186875
sparse,pooled,1,3,4,0.3190710957,0.2831660688,0.022375
sparse,pooled,1,3,5,0.3354553361,0.2958164329,0.029
sparse,pooled,1,3,6,0.3530380344,0.3132896415,0.0380625
sparse,pooled,1,3,7,0.3784076597,0.3347919952,0.0566875
sparse,pooled,1,3,8,0.4058226268,0.3603177035,0.08275
sparse,pooled,1,3,9,0.4342404873,0.3822948599,0.1128125
sparse,pooled,1,3,10,0.4607748845,0.4044528466,0.1300625
sparse,pooled,1,3,11,0.4820465949,0.4161780263,0.1398125
