dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1
sparse,block,3,2,6,0.8129051582,0.5883967799,0.2726875
sparse,block,3,2,7,0.8480815737,0.6181388806,0.2870625
sparse,block,3,2,8,0.8775992943,0.648611244,0.305375
sparse,block,3,2,9,0.9742973334,0.7248058489,0.345875
sparse,block,3,2,10,1.077629702,0.8085947097,0.3921875
sparse,block,3,2,11,1.039889828,0.7565253827,0.370875
sparse,block,3,2,12,1.015006834,0.736737035,0.3575625
sparse,block,3,3,1,0.5185292443,0.3512203279,0.131375
sparse,block,3,3,2,0.4243645027,0.2736932009,0.0931875
sparse,block,3,3,3,0.5638453842,0.390259711,0.1459375
sparse,block,3,3,4,0.6777550266,0.482233154,0.1965625
sparse,block,3,3,5,0.7020973932,0.5074705385,0.211625
sparse,block,3,3,6,0.790797284,0.5823535168,0.2583125
sparse,block,3,3,7,0.9240459093,0.6954494289,0.330375
sparse,block,3,3,8,0.9565169847,0.7225753713,0.3440625
sparse,block,3,3,9,1.053244512,0.7931661073,0.3883125
sparse,block,3,3,10,0.9769317746,0.7319140805,0.354125
sparse,block,3,3,11,1.027202657,0.7611900483,0.3716875
sparse,block,3,3,12,0.9522961523,0.6968293094,0.34
sparse,pooled,1,1,1,0.2701031207,0.2302336659,0.015875
sparse,pooled,1,1,2,0.2568626454,0.224024114,0.0109375
sparse,pooled,1,1,3,0.260687239,0.22920359,0.0130625
sparse,pooled,1,1,4,0.2724554846,0.2413495346,0.0178125
sparse,pooled,1,1,5,0.2924158665,0.2597638158,0.028375
sparse,pooled,1,1,6,0.3171917733,0.2817625981,0.0410625
sparse,pooled,1,1,7,0.349715668,0.3100672103,0.06175
sparse,pooled,1,1,8,0.3857162298,0.3442112611,0.08925
sparse,pooled,1,1,9,0.4200655584,0.3714260512,0.11725
sparse,pooled,1,1,10,0.454677762,0.3971171259,0.1460625
sparse,pooled,1,1,11,0.4872492439,0.4178073353,0.1685625
sparse,pooled,1,1,12,0.5125076628,0.4295747645,0.1779375
sparse,pooled,1,2,1,0.2590260922,0.2202598245,0.0255625
sparse,pooled,1,2,2,0.2475920358,0.2150898542,0.024125
sparse,pooled,1,2,3,0.2509315497,0.2207463759,0.0271875
sparse,pooled,1,2,4,0.2625430755,0.2331827421,0.0370625
sparse,pooled,1,2,5,0.2780509155,0.2475232989,0.0484375
sparse,pooled,1,2,6,0.297257737,0.2647698711,0.0665625
sparse,pooled,1,2,7,0.3193589478,0.2832188623,0.0841875
