dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1
intermediate,block,3,2,3,0.7003753704,0.5042208666,0.2138125
intermediate,block,3,2,4,0.750536478,0.5349481191,0.2405625
intermediate,block,3,2,5,0.7842125184,0.5730235211,0.2475
intermediate,block,3,2,6,0.825962438,0.6080762637,0.2788125
intermediate,block,3,2,7,0.8909756863,0.6516421159,0.309
intermediate,block,3,2,8,0.9439558195,0.6769283965,0.330875
intermediate,block,3,2,9,1.032812493,0.7382380203,0.36175
intermediate,block,3,2,10,1.08062142,0.7805693429,0.3821875
intermediate,block,3,2,11,1.054480064,0.7433260063,0.3674375
intermediate,block,3,2,12,1.020500172,0.7358345795,0.3616875
intermediate,block,3,3,1,0.5639000661,0.392679708,0.144875
intermediate,block,3,3,2,0.5532138483,0.3746091111,0.148
intermediate,block,3,3,3,0.6337166153,0.4544286569,0.1790625
intermediate,block,3,3,4,0.6925646355,0.4837820376,0.20675
intermediate,block,3,3,5,0.7180034395,0.5073827707,0.2243125
intermediate,block,3,3,6,0.7867404694,0.5605799564,0.254625
intermediate,block,3,3,7,0.8645612162,0.6188511377,0.29175
intermediate,block,3,3,8,0.9717897132,0.7185969408,0.3386875
intermediate,block,3,3,9,1.068669946,0.7916493185,0.3821875
intermediate,block,3,3,10,1.104630638,0.8196870547,0.3999375
intermediate,block,3,3,11,1.106125197,0.8238609916,0.4001875
intermediate,block,3,3,12,1.160028596,0.8551370985,0.4195625
intermediate,pooled,1,1,1,0.5570942995,0.5030484551,0.145875
intermediate,pooled,1,1,2,0.5592791632,0.5118939264,0.149125
intermediate,pooled,1,1,3,0.5727271213,0.5294407712,0.1614375
intermediate,pooled,1,1,4,0.5907838952,0.5481251736,0.1770625
intermediate,pooled,1,1,5,0.6088386241,0.5673374351,0.1900625
intermediate,pooled,1,1,6,0.6133214003,0.5753273396,0.1949375
intermediate,pooled,1,1,7,0.6145256804,0.5731171478,0.1995625
intermediate,pooled,1,1,8,0.6130463587,0.572085863,0.20175
intermediate,pooled,1,1,9,0.6130214445,0.5692865764,0.2078125
intermediate,pooled,1,1,10,0.6156993198,0.5647124426,0.2078125
intermediate,pooled,1,1,11,0.6193666146,0.5631284407,0.2053125
intermediate,pooled,1,1,12,0.6283614295,0.5580601023,0.2080625
intermediate,pooled,1,2,1,0.3432239293,0.2922817725,0.0374375
intermediate,pooled,1,2,2,0.3326402296,0.2899227768,0.0336875
intermediate,pooled,1,2,3,0.3370419341,0.2974344208,0.03625
intermediate,pooled,1,2,4,0.3486413775,0.3087893161,0.042875
intermediate,pooled,1,2,5,0.3662759721,0.3254467115,0.053875
intermediate,pooled,1,2,6,0.3939559756,0.348094099,0.0754375
intermediate,pooled,1,2,7,0.4229579855,0.3749341962,0.1033125
intermediate,pooled,1,2,8,0.4556901999,0.404904021,0.135
intermediate,pooled,1,2,9,0.4842658305,0.4269544842,0.1604375
intermediate,pooled,1,2,10,0.5099243697,0.4489728128,0.1746875
intermediate,pooled,1,2,11,0.5301868689,0.4606479483,0.182625
intermediate,pooled,1,2,12,0.5478063099,0.4623183242,0.1836875
intermediate,pooled,1,3,1,0.2993559857,0.255901373,0.0249375
intermediate,pooled,1,3,2,0.2892941348,0.2512524551,0.022
intermediate,pooled,1,3,3,0.2925743806,0.2582426466,0.02525
intermediate,pooled,1,3,4,0.3004207577,0.2661349228,0.0319375
intermediate,pooled,1,3,5,0.3112303251,0.2782163007,0.0416875
intermediate,pooled,1,3,6,0.3277857517,0.291898733,0.053125
intermediate,pooled,1,3,7,0.3479729476,0.3096050538,0.06825
intermediate,pooled,1,3,8,0.3666268262,0.326148725,0.08225
intermediate,pooled,1,3,9,0.3875785673,0.3422804267,0.10125
intermediate,pooled,1,3,10,0.406339733,0.3551871738,0.1158125
intermediate,pooled,1,3,11,0.4274608556,0.363190773,0.1273125
intermediate,pooled,1,3,12,0.4474844459,0.3705192778,0.139375
