dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1
sparse,block,3,2,6,0.8384339038,0.6070774345,0.2789375
sparse,block,3,2,7,0.9450963989,0.7012500342,0.3323125
sparse,block,3,2,8,0.9240234885,0.6858831001,0.323625
sparse,block,3,2,9,0.9825302898,0.7202819906,0.3406875
sparse,block,3,2,10,0.9692800376,0.7081722674,0.3439375
sparse,block,3,2,11,0.8831291657,0.6207005975,0.2979375
sparse,block,3,2,12,0.8619856837,0.608624223,0.28825
sparse,block,3,3,1,0.5339252743,0.357877608,0.138125
sparse,block,3,3,2,0.499458652,0.335242952,0.11825
sparse,block,3,3,3,0.6409659891,0.4543816249,0.1804375
sparse,block,3,3,4,0.7469875691,0.5233177438,0.230125
sparse,block,3,3,5,0.7526494656,0.5436736307,0.238375
sparse,block,3,3,6,0.8224214904,0.5979489196,0.27475
sparse,block,3,3,7,0.9498380223,0.6924993792,0.33075
sparse,block,3,3,8,0.9724613169,0.7203222354,0.3471875
sparse,block,3,3,9,1.066759765,0.7836242455,0.3824375
sparse,block,3,3,10,1.155548756,0.8537082155,0.410125
sparse,block,3,3,11,1.120055671,0.8253813226,0.3988125
sparse,block,3,3,12,1.104143538,0.811362936,0.3881875
sparse,pooled,1,1,1,0.2731913924,0.2328286944,0.0126875
sparse,pooled,1,1,2,0.2577958608,0.2247206008,0.0095625
sparse,pooled,1,1,3,0.257709096,0.2282330324,0.0104375
sparse,pooled,1,1,4,0.262706927,0.2330854601,0.0124375
sparse,pooled,1,1,5,0.2736685503,0.2418282979,0.016875
sparse,pooled,1,1,6,0.2862354149,0.2524173174,0.025375
sparse,pooled,1,1,7,0.3007695722,0.2665662321,0.035375
sparse,pooled,1,1,8,0.3185239693,0.2798119076,0.0469375
sparse,pooled,1,1,9,0.3374433736,0.293108187,0.0643125
sparse,pooled,1,1,10,0.3530802997,0.3044276665,0.0759375
sparse,pooled,1,1,11,0.3694264956,0.3134959157,0.088625
sparse,pooled,1,1,12,0.3836330455,0.3133148288,0.0966875
sparse,pooled,1,2,1,0.2863644965,0.2475140733,0.0261875
sparse,pooled,1,2,2,0.2762661421,0.2408744641,0.0235625
sparse,pooled,1,2,3,0.2806374492,0.2458673082,0.026625
sparse,pooled,1,2,4,0.2940473338,0.2627366879,0.0381875
sparse,pooled,1,2,5,0.3142838309,0.2814478735,0.0549375
sparse,pooled,1,2,6,0.3389001513,0.3054025472,0.0789375
sparse,pooled,1,2,7,0.3667996393,0.3301397431,0.1040625
sparse,pooled,1,2,8,0.394058315,0.3529258494,0.12525
sparse,pooled,1,2,9,0.4217747882,0.3793057419,0.1444375
sparse,pooled,1,2,10,0.4435171284,0.3933644908,0.1533125
sparse,pooled,1,2,11,0.466920123,0.409644296,0.1591875
sparse,pooled,1,2,12,0.48717892,0.4126120705,0.16125
sparse,pooled,1,3,1,0.278682894,0.2362504145,0.01875
sparse,pooled,1,3,2,0.266055053,0.2282252205,0.01475
sparse,pooled,1,3,3,0.268241756,0.2319692723,0.0150625
sparse,pooled,1,3,4,0.2798565488,0.2458001625,0.0190625
sparse,pooled,1,3,5,0.300201055,0.2629788674,0.0281875
sparse,pooled,1,3,6,0.3259077429,0.2872658997,0.04375
sparse,pooled,1,3,7,0.3604107272,0.3166171155,0.0668125
sparse,pooled,1,3,8,0.3990012746,0.346960445,0.0984375
sparse,pooled,1,3,9,0.4331051469,0.375756383,0.1318125
sparse,pooled,1,3,10,0.462273549,0.3987207181,0.1516875
sparse,pooled,1,3,11,0.4875004389,0.4139258091,0.16775
sparse,pooled,1,3,12,0.5092818999,0.420520279,0.17425
sparse,pooled,2,1,1,0.3056468903,0.2683602923,0.02525
sparse,pooled,2,1,2,0.2915091456,0.2605705014,0.0218125
sparse,pooled,2,1,3,0.2975477454,0.2665071196,0.024375
sparse,pooled,2,1,4,0.3122739322,0.2807215191,0.0305
sparse,pooled,2,1,5,0.3392003626,0.305176945,0.04825
sparse,pooled,2,1,6,0.3702581422,0.3342879747,0.0675
sparse,pooled,2,1,7,0.4058034346,0.3662492809,0.0943125
sparse,pooled,2,1,8,0.4509042226,0.4073277888,0.1289375
sparse,pooled,2,1,9,0.4979314277,0.4479371264,0.1620625
sparse,pooled,2,1,10,0.5400793819,0.4841735904,0.188375
sparse,pooled,2,1,11,0.5790385053,0.5094089658,0.2106875
sparse,pooled,2,1,12,0.6145124798,0.5232769442,0.225375
sparse,pooled,2,2,1,0.27832151,0.2383204154,0.0149375
sparse,pooled,2,2,2,0.2646191905,0.2309398245,0.01175
sparse,pooled,2,2,3,0.2651748341,0.2335690372,0.0126875
sparse,pooled,2,2,4,0.2722165941,0.2407825737,0.0164375
sparse,pooled,2,2,5,0.2845599524,0.2509215718,0.025
sparse,pooled,2,2,6,0.303616584,0.2694375874,0.040125
sparse,pooled,2,2,7,0.325796742,0.2864676845,0.059375
sparse,pooled,2,2,8,0.3482552997,0.3053139112,0.07425
sparse,pooled,2,2,9,0.3645085942,0.3176116461,0.081875
sparse,pooled,2,2,10,0.3822293263,0.3309116961,0.0921875
sparse,pooled,2,2,11,0.4011876799,0.3426590032,0.1045
sparse,pooled,2,2,12,0.4165833147,0.3438214716,0.113375
sparse,pooled,2,3,1,0.3130203777,0.2751575259,0.02675
sparse,pooled,2,3,2,0.3008366829,0.2669423354,0.0225625
sparse,pooled,2,3,3,0.3057314481,0.2744684046,0.0251875
sparse,pooled,2,3,4,0.3239569692,0.2924802643,0.0346875
sparse,pooled,2,3,5,0.3555936875,0.3211144788,0.052875
sparse,pooled,2,3,6,0.3901102466,0.3545869668,0.077625
sparse,pooled,2,3,7,0.4286610875,0.3884097933,0.11075
sparse,pooled,2,3,8,0.467635043,0.4250129622,0.1435625
sparse,pooled,2,3,9,0.507062796,0.4598361821,0.1755625
sparse,pooled,2,3,10,0.5410802481,0.4858682387,0.2015625
sparse,pooled,2,3,11,0.5677964538,0.5051661709,0.214125
sparse,pooled,2,3,12,0.5931134839,0.5093505662,0.2191875
sparse,pooled,3,1,1,1.456567237,1.370570518,0.808
sparse,pooled,3,1,2,1.607990295,1.524851204,0.92125
sparse,pooled,3,1,3,1.571690238,1.498994581,0.9083125
sparse,pooled,3,1,4,1.55135176,1.478978755,0.8898125
sparse,pooled,3,1,5,1.510744425,1.444501749,0.85775
sparse,pooled,3,1,6,1.437533591,1.372015531,0.802125
sparse,pooled,3,1,7,1.341642477,1.283797904,0.7258125
sparse,pooled,3,1,8,1.256486971,1.198447974,0.6539375
sparse,pooled,3,1,9,1.186665869,1.129068124,0.590875
sparse,pooled,3,1,10,1.14136285,1.079350725,0.5464375
sparse,pooled,3,1,11,1.116801415,1.046887968,0.51925
sparse,pooled,3,1,12,1.126028399,1.034481277,0.5118125
sparse,pooled,3,2,1,0.3579065445,0.3102732996,0.0410625
sparse,pooled,3,2,2,0.3457000977,0.3048927743,0.0355625
sparse,pooled,3,2,3,0.3453434676,0.306304278,0.036875
sparse,pooled,3,2,4,0.3494514095,0.310781511,0.0433125
sparse,pooled,3,2,5,0.3560363682,0.3169992441,0.0505625
sparse,pooled,3,2,6,0.3703075055,0.3320602648,0.0645625
sparse,pooled,3,2,7,0.392964389,0.3506405531,0.08925
sparse,pooled,3,2,8,0.4068441976,0.3602712026,0.0993125
sparse,pooled,3,2,9,0.4170411462,0.3639175514,0.109
sparse,pooled,3,2,10,0.4178967645,0.3593984949,0.1080625
sparse,pooled,3,2,11,0.4140068436,0.3536749458,0.1029375
sparse,pooled,3,2,12,0.4176263745,0.3488299355,0.105375
sparse,pooled,3,3,1,0.3290917711,0.2819292252,0.0320625
sparse,pooled,3,3,2,0.316025494,0.2758959275,0.0245
sparse,pooled,3,3,3,0.3219158507,0.2870943294,0.028125
sparse,pooled,3,3,4,0.3398827278,0.3022996697,0.041625
sparse,pooled,3,3,5,0.3647567625,0.326727718,0.0625625
sparse,pooled,3,3,6,0.3952487267,0.3552222999,0.0850625
sparse,pooled,3,3,7,0.4349957363,0.3905654505,0.11475
sparse,pooled,3,3,8,0.4759143158,0.4256306791,0.1458125
sparse,pooled,3,3,9,0.5154822292,0.4584040427,0.1718125
sparse,pooled,3,3,10,0.5487249789,0.4852356753,0.197125
sparse,pooled,3,3,11,0.5754708522,0.5024328709,0.213
sparse,pooled,3,3,12,0.5961627374,0.5054960654,0.21275
