scale_estimator,equation,block,null_mean,q90,q95,q99,argmax_freq,pgt1_mean,pgt1_q95,eq_maxstat_q95,eq_pflag_q95,eq_coverage_under_null
block,ois1m,ois1m,0.9486,1.5629,1.9116,2.3044,0.2820,0.3685,0.8192,2.0239,0.8966,0.5378
block,ois1m,ip,0.8937,1.4464,1.6391,2.1282,0.2360,0.3567,0.7899,2.0239,0.8966,0.5378
block,ois1m,hicp_sa,0.9074,1.4711,1.7251,1.9583,0.3060,0.3591,0.8320,2.0239,0.8966,0.5378
block,ois1m,stoxx,0.8018,1.2653,1.4017,1.8453,0.1760,0.3055,0.7379,2.0239,0.8966,0.5378
block,ip,ois1m,0.8471,1.3399,1.5581,2.0176,0.2460,0.3212,0.7159,1.8123,0.8481,0.6413
block,ip,ip,0.8003,1.2916,1.5185,2.0855,0.1880,0.2982,0.7340,1.8123,0.8481,0.6413
block,ip,hicp_sa,0.8861,1.4120,1.5609,1.8118,0.3900,0.3505,0.7717,1.8123,0.8481,0.6413
block,ip,stoxx,0.7121,1.0950,1.2719,1.5652,0.1760,0.2469,0.6301,1.8123,0.8481,0.6413
block,hicp_sa,ois1m,0.9319,1.5034,1.7106,2.0607,0.2060,0.3659,0.7825,2.0140,0.8922,0.7842
block,hicp_sa,ip,0.8044,1.2994,1.4623,1.8018,0.1320,0.3082,0.7368,2.0140,0.8922,0.7842
block,hicp_sa,hicp_sa,1.1279,1.6507,1.8327,2.2655,0.5340,0.4989,0.8909,2.0140,0.8922,0.7842
block,hicp_sa,stoxx,0.7892,1.2170,1.3357,1.6374,0.1280,0.2949,0.6870,2.0140,0.8922,0.7842
block,stoxx,ois1m,0.9842,1.5553,1.8028,2.5573,0.2800,0.3868,0.7919,1.9598,0.8994,0.8342
block,stoxx,ip,0.9076,1.4298,1.6227,1.8264,0.2400,0.3731,0.7921,1.9598,0.8994,0.8342
block,stoxx,hicp_sa,0.8700,1.3665,1.5297,1.9442,0.2540,0.3419,0.7744,1.9598,0.8994,0.8342
block,stoxx,stoxx,0.8676,1.4059,1.5321,1.7413,0.2260,0.3493,0.8030,1.9598,0.8994,0.8342
pooled,ois1m,ois1m,0.7860,1.6608,1.9831,2.7066,0.2700,0.3169,0.9807,2.2282,0.9961,0.5396
pooled,ois1m,ip,0.7814,1.5689,1.8324,2.2973,0.2300,0.3223,0.9765,2.2282,0.9961,0.5396
pooled,ois1m,hicp_sa,0.7710,1.5321,1.7242,2.1000,0.2840,0.3107,0.9725,2.2282,0.9961,0.5396
pooled,ois1m,stoxx,0.6745,1.2886,1.4512,1.9692,0.2160,0.2491,0.9179,2.2282,0.9961,0.5396
pooled,ip,ois1m,0.6515,1.3756,1.6790,2.2111,0.2180,0.2412,0.9219,2.0082,0.9810,0.6460
pooled,ip,ip,0.6395,1.4199,1.6896,2.3687,0.2040,0.2369,0.9520,2.0082,0.9810,0.6460
pooled,ip,hicp_sa,0.7302,1.3905,1.5599,1.9089,0.3820,0.2793,0.9228,2.0082,0.9810,0.6460
pooled,ip,stoxx,0.5439,1.0999,1.3215,1.6896,0.1960,0.1632,0.8157,2.0082,0.9810,0.6460
pooled,hicp_sa,ois1m,0.7699,1.5531,1.8316,2.2043,0.1900,0.3083,0.9429,2.1390,0.9936,0.7864
pooled,hicp_sa,ip,0.6603,1.3660,1.5903,1.9659,0.1260,0.2522,0.9116,2.1390,0.9936,0.7864
pooled,hicp_sa,hicp_sa,1.0394,1.6692,1.8535,2.3587,0.5260,0.4842,0.9873,2.1390,0.9936,0.7864
pooled,hicp_sa,stoxx,0.6614,1.2241,1.3706,1.8090,0.1580,0.2368,0.8860,2.1390,0.9936,0.7864
pooled,stoxx,ois1m,0.8339,1.6513,1.9983,2.8512,0.2360,0.3443,0.9698,2.0988,0.9947,0.8355
pooled,stoxx,ip,0.7999,1.5024,1.6799,2.0408,0.2380,0.3391,0.9699,2.0988,0.9947,0.8355
pooled,stoxx,hicp_sa,0.7237,1.4175,1.6299,2.0070,0.2580,0.2851,0.9514,2.0988,0.9947,0.8355
pooled,stoxx,stoxx,0.7559,1.4197,1.5984,1.8989,0.2680,0.3034,0.9635,2.0988,0.9947,0.8355
