scale_estimator,equation,block,null_mean,q90,q95,q99,argmax_freq,pgt1_mean,pgt1_q95,eq_maxstat_q95,eq_pflag_q95,eq_coverage_under_null
block,i1y,i1y,1.0281,1.6642,1.9610,2.5845,0.4300,0.3535,0.7544,1.9988,0.7827,0.3623
block,i1y,ip,0.8007,1.1200,1.4240,1.9597,0.1700,0.2731,0.5966,1.9988,0.7827,0.3623
block,i1y,hicp,0.7675,1.1797,1.3114,1.5215,0.1600,0.2629,0.6000,1.9988,0.7827,0.3623
block,i1y,stoxx,0.8748,1.3412,1.5367,1.8485,0.2400,0.3094,0.6513,1.9988,0.7827,0.3623
block,ip,i1y,1.0617,1.7123,2.2082,2.7145,0.4000,0.3454,0.6802,2.3273,0.7477,0.7005
block,ip,ip,0.8369,1.2529,1.4085,1.8261,0.1600,0.2889,0.5643,2.3273,0.7477,0.7005
block,ip,hicp,0.8034,1.2135,1.3833,1.7236,0.1800,0.2807,0.6042,2.3273,0.7477,0.7005
block,ip,stoxx,0.8719,1.3604,1.5727,1.7409,0.2600,0.3048,0.6151,2.3273,0.7477,0.7005
block,hicp,i1y,1.1355,1.7676,2.0329,3.1403,0.1650,0.3956,0.7479,2.4496,0.9682,0.8645
block,hicp,ip,0.8411,1.3348,1.5617,1.7369,0.0550,0.2952,0.6483,2.4496,0.9682,0.8645
block,hicp,hicp,1.5009,2.2385,2.3311,2.5469,0.7000,0.6246,0.9682,2.4496,0.9682,0.8645
block,hicp,stoxx,0.8890,1.3251,1.4679,1.9581,0.0800,0.3116,0.6020,2.4496,0.9682,0.8645
block,stoxx,i1y,0.9778,1.5344,2.0402,2.7691,0.3000,0.3188,0.6674,2.1466,0.7384,0.8723
block,stoxx,ip,0.8667,1.3455,1.5774,1.9158,0.2000,0.3019,0.6131,2.1466,0.7384,0.8723
block,stoxx,hicp,0.7913,1.2002,1.4329,1.6645,0.1600,0.2738,0.6339,2.1466,0.7384,0.8723
block,stoxx,stoxx,0.9559,1.4799,1.6076,1.9512,0.3400,0.3484,0.6794,2.1466,0.7384,0.8723
pooled,i1y,i1y,0.6543,1.5868,1.9288,3.4194,0.3350,0.2236,0.9341,2.1590,0.9726,0.3536
pooled,i1y,ip,0.4286,0.9518,1.3776,1.9724,0.1700,0.1219,0.8008,2.1590,0.9726,0.3536
pooled,i1y,hicp,0.4750,1.0505,1.2388,1.3943,0.2500,0.1308,0.7132,2.1590,0.9726,0.3536
pooled,i1y,stoxx,0.5176,1.2997,1.5302,1.9197,0.2450,0.1646,0.8445,2.1590,0.9726,0.3536
pooled,ip,i1y,0.6784,1.7422,2.5012,2.9735,0.3350,0.2107,0.9343,2.5122,0.9607,0.6995
pooled,ip,ip,0.4778,1.1825,1.4074,1.8632,0.1650,0.1523,0.7416,2.5122,0.9607,0.6995
pooled,ip,hicp,0.5355,1.0613,1.2330,1.6416,0.2600,0.1477,0.7238,2.5122,0.9607,0.6995
pooled,ip,stoxx,0.5226,1.2461,1.4683,1.9372,0.2400,0.1689,0.8021,2.5122,0.9607,0.6995
pooled,hicp,i1y,0.8252,1.6984,2.0795,2.9381,0.1350,0.2996,0.9093,2.5375,0.9995,0.8577
pooled,hicp,ip,0.4985,1.3152,1.5042,1.8185,0.0800,0.1700,0.8714,2.5375,0.9995,0.8577
pooled,hicp,hicp,1.3464,2.1953,2.2939,2.5412,0.6900,0.6474,0.9995,2.5375,0.9995,0.8577
pooled,hicp,stoxx,0.5559,1.2401,1.4376,2.2293,0.0950,0.1784,0.8316,2.5375,0.9995,0.8577
pooled,stoxx,i1y,0.5701,1.4625,2.0800,3.0811,0.2300,0.1653,0.8558,2.1696,0.9476,0.8727
pooled,stoxx,ip,0.5322,1.2912,1.5501,2.0437,0.2200,0.1734,0.8216,2.1696,0.9476,0.8727
pooled,stoxx,hicp,0.5136,1.1056,1.2852,1.6183,0.2050,0.1444,0.7641,2.1696,0.9476,0.8727
pooled,stoxx,stoxx,0.6490,1.4571,1.5894,2.1411,0.3450,0.2317,0.8817,2.1696,0.9476,0.8727
