scale_estimator,equation,block,null_mean,q90,q95,q99,argmax_freq,pgt1_mean,pgt1_q95,eq_maxstat_q95,eq_pflag_q95,eq_coverage_under_null
block,ois1m,ois1m,0.8942,1.4464,1.6514,2.0793,0.2800,0.3482,0.7575,1.8143,0.8606,0.4059
block,ois1m,ip,0.8598,1.3688,1.5818,1.9969,0.2330,0.3414,0.7821,1.8143,0.8606,0.4059
block,ois1m,hicp_sa,0.8199,1.3200,1.4657,1.7083,0.2890,0.3125,0.7381,1.8143,0.8606,0.4059
block,ois1m,stoxx,0.7678,1.2144,1.4103,1.7115,0.1980,0.2836,0.7176,1.8143,0.8606,0.4059
block,ip,ois1m,0.8970,1.4521,1.6474,2.0603,0.2770,0.3443,0.7536,1.8769,0.8635,0.5923
block,ip,ip,0.8700,1.3930,1.5893,2.1375,0.2200,0.3429,0.7657,1.8769,0.8635,0.5923
block,ip,hicp_sa,0.9081,1.3914,1.5881,1.8542,0.3600,0.3629,0.7872,1.8769,0.8635,0.5923
block,ip,stoxx,0.7638,1.1928,1.3245,1.6848,0.1430,0.2802,0.6753,1.8769,0.8635,0.5923
block,hicp_sa,ois1m,0.9323,1.4940,1.6719,2.0512,0.2120,0.3676,0.7781,1.9734,0.9119,0.7476
block,hicp_sa,ip,0.8238,1.2931,1.4991,1.9698,0.1400,0.3172,0.7592,1.9734,0.9119,0.7476
block,hicp_sa,hicp_sa,1.1161,1.6573,1.8382,2.2036,0.5110,0.4917,0.8962,1.9734,0.9119,0.7476
block,hicp_sa,stoxx,0.8039,1.2638,1.3939,1.7346,0.1370,0.3058,0.7271,1.9734,0.9119,0.7476
block,stoxx,ois1m,0.9165,1.4864,1.6803,2.1198,0.2520,0.3593,0.7751,1.9070,0.8607,0.7720
block,stoxx,ip,0.9316,1.4311,1.6358,1.9967,0.2640,0.3872,0.8104,1.9070,0.8607,0.7720
block,stoxx,hicp_sa,0.8486,1.3472,1.5065,1.8958,0.2460,0.3270,0.7557,1.9070,0.8607,0.7720
block,stoxx,stoxx,0.8641,1.3718,1.4882,1.8361,0.2380,0.3474,0.7835,1.9070,0.8607,0.7720
pooled,ois1m,ois1m,0.7189,1.5320,1.7254,2.2364,0.2600,0.2848,0.9455,1.9325,0.9899,0.4082
pooled,ois1m,ip,0.7371,1.4631,1.7074,2.1551,0.2370,0.2967,0.9595,1.9325,0.9899,0.4082
pooled,ois1m,hicp_sa,0.6597,1.3092,1.4760,1.7945,0.2960,0.2404,0.9064,1.9325,0.9899,0.4082
pooled,ois1m,stoxx,0.6286,1.2590,1.4627,1.8164,0.2070,0.2161,0.9235,1.9325,0.9899,0.4082
pooled,ip,ois1m,0.7078,1.5126,1.7744,2.2695,0.2300,0.2690,0.9485,2.0454,0.9903,0.5942
pooled,ip,ip,0.7371,1.4703,1.7677,2.3708,0.2390,0.2920,0.9581,2.0454,0.9903,0.5942
pooled,ip,hicp_sa,0.7677,1.3871,1.6067,1.8937,0.3560,0.3011,0.9415,2.0454,0.9903,0.5942
pooled,ip,stoxx,0.6246,1.2253,1.3862,1.8173,0.1750,0.2070,0.8760,2.0454,0.9903,0.5942
pooled,hicp_sa,ois1m,0.7761,1.5511,1.7934,2.3908,0.1910,0.3045,0.9584,2.1116,0.9963,0.7471
pooled,hicp_sa,ip,0.6850,1.3988,1.6082,2.1932,0.1490,0.2641,0.9539,2.1116,0.9963,0.7471
pooled,hicp_sa,hicp_sa,1.0285,1.6950,1.9026,2.3666,0.4940,0.4773,0.9920,2.1116,0.9963,0.7471
pooled,hicp_sa,stoxx,0.6857,1.3184,1.4687,1.8658,0.1660,0.2505,0.9178,2.1116,0.9963,0.7471
pooled,stoxx,ois1m,0.7598,1.5457,1.7682,2.3989,0.2130,0.3076,0.9457,2.0349,0.9914,0.7741
pooled,stoxx,ip,0.8327,1.5247,1.7300,2.1324,0.2550,0.3625,0.9690,2.0349,0.9914,0.7741
pooled,stoxx,hicp_sa,0.7016,1.3668,1.5800,2.0582,0.2600,0.2620,0.9434,2.0349,0.9914,0.7741
pooled,stoxx,stoxx,0.7580,1.4257,1.5393,1.9881,0.2720,0.3114,0.9458,2.0349,0.9914,0.7741
