scale_estimator,equation,block,null_mean,q90,q95,q99,argmax_freq,pgt1_mean,pgt1_q95,eq_maxstat_q95,eq_pflag_q95,eq_coverage_under_null
block,i1y,i1y,1.0702,1.8756,2.2155,2.8707,0.4700,0.3682,0.7495,2.2550,0.7954,0.4814
block,i1y,ip,0.8503,1.4249,1.5663,1.9731,0.2100,0.3029,0.6539,2.2550,0.7954,0.4814
block,i1y,hicp,0.6915,1.0758,1.1958,1.6758,0.1200,0.2252,0.5371,2.2550,0.7954,0.4814
block,i1y,stoxx,0.8078,1.1757,1.3345,1.8256,0.2000,0.2866,0.5501,2.2550,0.7954,0.4814
block,ip,i1y,0.8234,1.2567,1.6017,1.8953,0.2850,0.2725,0.5683,1.6905,0.6982,0.7945
block,ip,ip,0.7736,1.1644,1.3730,1.7206,0.2050,0.2658,0.6092,1.6905,0.6982,0.7945
block,ip,hicp,0.7092,1.1032,1.2656,1.4961,0.2000,0.2367,0.5873,1.6905,0.6982,0.7945
block,ip,stoxx,0.8119,1.2469,1.4369,1.6856,0.3100,0.2898,0.6272,1.6905,0.6982,0.7945
block,hicp,i1y,1.1456,1.6945,1.8578,2.5062,0.1650,0.4230,0.7303,2.2492,0.9546,0.8409
block,hicp,ip,0.8520,1.3000,1.4412,2.1027,0.0750,0.3058,0.6344,2.2492,0.9546,0.8409
block,hicp,hicp,1.4258,1.9772,2.0751,2.5127,0.6550,0.6215,0.9546,2.2492,0.9546,0.8409
block,hicp,stoxx,0.8742,1.3395,1.6119,2.0010,0.1050,0.3192,0.7077,2.2492,0.9546,0.8409
block,stoxx,i1y,0.8753,1.3680,1.6089,2.5826,0.2500,0.2932,0.5918,1.9040,0.7793,0.8995
block,stoxx,ip,0.8402,1.3755,1.5364,1.8033,0.2100,0.3036,0.6479,1.9040,0.7793,0.8995
block,stoxx,hicp,0.7457,1.1894,1.3005,1.6194,0.1700,0.2575,0.6255,1.9040,0.7793,0.8995
block,stoxx,stoxx,0.9383,1.5376,1.6772,1.9997,0.3700,0.3579,0.7596,1.9040,0.7793,0.8995
pooled,i1y,i1y,0.7590,2.1022,2.4877,3.3282,0.3300,0.2771,0.9724,2.6143,0.9790,0.4859
pooled,i1y,ip,0.5782,1.4460,1.7014,2.1127,0.2200,0.1958,0.8784,2.6143,0.9790,0.4859
pooled,i1y,hicp,0.4960,0.9964,1.1648,1.6404,0.2300,0.1271,0.6449,2.6143,0.9790,0.4859
pooled,i1y,stoxx,0.5515,1.1496,1.3632,1.8856,0.2200,0.1710,0.7276,2.6143,0.9790,0.4859
pooled,ip,i1y,0.4257,1.1568,1.5207,2.0647,0.1750,0.1140,0.7038,1.7904,0.9075,0.7959
pooled,ip,ip,0.4493,1.1440,1.4435,2.2342,0.1550,0.1359,0.7908,1.7904,0.9075,0.7959
pooled,ip,hicp,0.4972,1.0197,1.2301,1.5359,0.3350,0.1324,0.6987,1.7904,0.9075,0.7959
pooled,ip,stoxx,0.5234,1.1767,1.3663,1.6826,0.3350,0.1713,0.7684,1.7904,0.9075,0.7959
pooled,hicp,i1y,0.8652,1.6586,1.9492,2.7792,0.1050,0.3234,0.8917,2.4970,0.9994,0.8400
pooled,hicp,ip,0.5664,1.2950,1.5571,2.3787,0.1000,0.1976,0.8454,2.4970,0.9994,0.8400
pooled,hicp,hicp,1.3742,2.0089,2.2011,2.5370,0.6600,0.7013,0.9994,2.4970,0.9994,0.8400
pooled,hicp,stoxx,0.6166,1.3701,1.6830,2.1287,0.1350,0.2146,0.9050,2.4970,0.9994,0.8400
pooled,stoxx,i1y,0.4985,1.2740,1.5635,2.8748,0.1400,0.1540,0.6988,1.9969,0.9600,0.8995
pooled,stoxx,ip,0.5451,1.3714,1.5254,1.9248,0.2450,0.1937,0.8373,1.9969,0.9600,0.8995
pooled,stoxx,hicp,0.5380,1.1037,1.2663,1.5671,0.2700,0.1551,0.7436,1.9969,0.9600,0.8995
pooled,stoxx,stoxx,0.6970,1.4935,1.6737,2.1005,0.3450,0.2790,0.9199,1.9969,0.9600,0.8995
