instrument,F_eff,variable,h,theta,se,lo,hi,ar_lo,ar_hi,ar_unbounded,theta_la,lo_la,hi_la
z_gcs_1m_adj_sum,18.970,ois1m,37,2.152952,1.284704,0.039802,4.266101,-0.031045,4.208478,0,2.539981,0.505616,4.574346
z_gcs_1m_adj_sum,18.970,ois1m,38,1.856109,1.256799,-0.211141,3.923358,-0.343289,3.866986,0,2.267042,0.269153,4.264931
z_gcs_1m_adj_sum,18.970,ois1m,39,1.708254,1.213025,-0.286994,3.703502,-0.353888,3.649093,0,2.156234,0.118800,4.193669
z_gcs_1m_adj_sum,18.970,ois1m,40,1.572750,1.226507,-0.444675,3.590175,-0.512313,3.535161,0,2.057848,-0.015604,4.131300
z_gcs_1m_adj_sum,18.970,ois1m,41,1.307374,1.154671,-0.591890,3.206639,-0.655566,3.154848,0,1.776001,-0.183743,3.735745
z_gcs_1m_adj_sum,18.970,ois1m,42,1.508365,1.190936,-0.450551,3.467281,-0.516227,3.413863,0,1.875555,-0.104424,3.855534
z_gcs_1m_adj_sum,18.970,ois1m,43,1.140363,1.010698,-0.522087,2.802813,-0.577824,2.757479,0,1.549874,-0.310469,3.410217
z_gcs_1m_adj_sum,18.970,ois1m,44,0.862297,0.895629,-0.610882,2.335476,-0.615491,2.340085,0,1.274682,-0.532256,3.081620
z_gcs_1m_adj_sum,18.970,ois1m,45,0.642616,0.861160,-0.773867,2.059099,-0.821356,2.020473,0,1.110785,-0.675847,2.897417
z_gcs_1m_adj_sum,18.970,ois1m,46,0.136819,0.767209,-1.125127,1.398765,-1.129075,1.402713,0,0.706689,-1.023734,2.437111
z_gcs_1m_adj_sum,18.970,ois1m,47,0.216681,0.765460,-1.042389,1.475751,-1.046328,1.479691,0,0.746375,-0.995766,2.488515
z_gcs_1m_adj_sum,18.970,ois1m,48,0.113541,0.660627,-0.973093,1.200176,-0.976493,1.203576,0,0.663583,-0.995096,2.322262
z_gcs_1m_adj_sum,18.970,ip,0,4.978975,2.180507,1.392361,8.565590,1.926266,9.776090,0,4.645551,1.351903,7.939198
z_gcs_1m_adj_sum,18.970,ip,1,1.605286,2.039154,-1.748824,4.959396,-1.861276,5.071848,0,1.939037,-1.298035,5.176108
z_gcs_1m_adj_sum,18.970,ip,2,4.431293,2.254604,0.722799,8.139787,0.823927,8.376851,0,4.451254,0.431236,8.471271
z_gcs_1m_adj_sum,18.970,ip,3,2.725810,2.755246,-1.806167,7.257787,-1.682584,7.685254,0,2.696796,-2.585860,7.979451
z_gcs_1m_adj_sum,18.970,ip,4,3.126851,2.984727,-1.782588,8.036290,-1.797948,8.200887,0,2.877363,-2.871816,8.626542
z_gcs_1m_adj_sum,18.970,ip,5,3.733575,3.060541,-1.300566,8.767716,-1.163290,9.242548,0,3.332338,-2.918477,9.583152
z_gcs_1m_adj_sum,18.970,ip,6,1.526871,3.266822,-3.846572,6.900315,-4.026726,6.917127,0,1.708317,-5.915114,9.331748
z_gcs_1m_adj_sum,18.970,ip,7,-0.612724,4.403283,-7.855479,6.630032,-8.098304,6.872857,0,-0.217864,-9.034639,8.598912
z_gcs_1m_adj_sum,18.970,ip,8,-0.034274,4.382534,-7.242901,7.174353,-7.265455,7.635160,0,0.875617,-7.411596,9.162830
z_gcs_1m_adj_sum,18.970,ip,9,-0.803168,4.525973,-8.247731,6.641394,-8.271023,6.890985,0,0.288850,-8.348332,8.926031
z_gcs_1m_adj_sum,18.970,ip,10,-2.438641,4.845857,-10.409367,5.532085,-10.676599,5.557023,0,-1.156075,-9.733912,7.421763
z_gcs_1m_adj_sum,18.970,ip,11,1.576218,5.476830,-7.432366,10.584802,-7.186711,11.160671,0,3.212328,-4.960512,11.385167
z_gcs_1m_adj_sum,18.970,ip,12,1.053002,5.175648,-7.460181,9.566185,-7.228034,10.110385,0,2.373431,-5.605322,10.352184
z_gcs_1m_adj_sum,18.970,ip,13,3.701647,5.068192,-4.634786,12.038081,-4.154050,12.824392,0,4.299764,-3.449855,12.049384
z_gcs_1m_adj_sum,18.970,ip,14,8.293300,5.629907,-0.967074,17.553673,-0.151561,18.708629,0,9.401360,1.013363,17.789358
z_gcs_1m_adj_sum,18.970,ip,15,8.971219,5.267742,0.306554,17.635884,1.069605,18.979929,0,10.116715,1.713998,18.519432
