dgp,scale_estimator,misspec_block,is_false_positive_setting,metric,index,value
correct,pooled,NaN,1,detect_prob_by_eq_early,eq3,NaN
correct,pooled,NaN,1,mean_rank_true_by_eq,eq3,NaN
correct,pooled,NaN,1,max_argmax_freq,all_horizons,0.425
correct,pooled,NaN,1,max_argmax_freq_early,early,0.4
correct,pooled,NaN,1,argmax_cell,equation_all,3
correct,pooled,NaN,1,argmax_cell,block_all,1
correct,pooled,NaN,1,argmax_cell_early,equation_early,3
correct,pooled,NaN,1,argmax_cell_early,block_early,1
correct,pooled,NaN,1,argmax_chance,per_cell,0.3333333333
correct,pooled,NaN,1,mean_rank_true,aggregate,NaN
correct,pooled,NaN,1,rank_chance,aggregate,2
correct,pooled,NaN,1,flag_ratio,thr1.25,0.625
correct,pooled,NaN,1,joint_detect_ratio,thr1.25,NaN
correct,pooled,NaN,1,flag_ratio,thr1.50,0.425
correct,pooled,NaN,1,joint_detect_ratio,thr1.50,NaN
correct,pooled,NaN,1,flag_ratio,thr2.00,0.25
correct,pooled,NaN,1,joint_detect_ratio,thr2.00,NaN
correct,pooled,NaN,1,flag_prob,q0.50,0.075
correct,pooled,NaN,1,joint_detect_prob,q0.50,NaN
correct,pooled,NaN,1,flag_prob,q0.75,0
correct,pooled,NaN,1,joint_detect_prob,q0.75,NaN
correct,pooled,NaN,1,flag_prob,q0.90,0
correct,pooled,NaN,1,joint_detect_prob,q0.90,NaN
correct,pooled,NaN,1,ess_beta_mean,chain,NaN
correct,pooled,NaN,1,ess_logtau_mean,chain,19.67546363
correct,pooled,NaN,1,lag1_beta_mean,chain,NaN
correct,pooled,NaN,1,acc_rate_mean,chain,0.3215209105
correct,pooled,NaN,1,n_tau_clip_mean,chain,NaN
