dgp,scale_estimator,misspec_block,is_false_positive_setting,metric,index,value
dense,pooled,NaN,1,argmax_freq_by_eq,eq2_block1,0.425
dense,pooled,NaN,1,argmax_freq_by_eq_early,eq2_block1,0.4
dense,pooled,NaN,1,argmax_freq_by_eq,eq2_block2,0.325
dense,pooled,NaN,1,argmax_freq_by_eq_early,eq2_block2,0.375
dense,pooled,NaN,1,argmax_freq_by_eq,eq2_block3,0.25
dense,pooled,NaN,1,argmax_freq_by_eq_early,eq2_block3,0.225
dense,pooled,NaN,1,argmax_freq_by_eq,eq3_block1,0.4
dense,pooled,NaN,1,argmax_freq_by_eq_early,eq3_block1,0.4
dense,pooled,NaN,1,argmax_freq_by_eq,eq3_block2,0.325
dense,pooled,NaN,1,argmax_freq_by_eq_early,eq3_block2,0.35
dense,pooled,NaN,1,argmax_freq_by_eq,eq3_block3,0.275
dense,pooled,NaN,1,argmax_freq_by_eq_early,eq3_block3,0.25
dense,pooled,NaN,1,detect_prob,aggregate,NaN
dense,pooled,NaN,1,detect_prob_by_eq,eq1,NaN
dense,pooled,NaN,1,detect_prob_by_eq_early,eq1,NaN
dense,pooled,NaN,1,mean_rank_true_by_eq,eq1,NaN
dense,pooled,NaN,1,detect_prob_by_eq,eq2,NaN
dense,pooled,NaN,1,detect_prob_by_eq_early,eq2,NaN
dense,pooled,NaN,1,mean_rank_true_by_eq,eq2,NaN
dense,pooled,NaN,1,detect_prob_by_eq,eq3,NaN
dense,pooled,NaN,1,detect_prob_by_eq_early,eq3,NaN
dense,pooled,NaN,1,mean_rank_true_by_eq,eq3,NaN
dense,pooled,NaN,1,max_argmax_freq,all_horizons,0.475
dense,pooled,NaN,1,max_argmax_freq_early,early,0.475
dense,pooled,NaN,1,argmax_cell,equation_all,1
dense,pooled,NaN,1,argmax_cell,block_all,1
dense,pooled,NaN,1,argmax_cell_early,equation_early,1
dense,pooled,NaN,1,argmax_cell_early,block_early,1
dense,pooled,NaN,1,argmax_chance,per_cell,0.3333333333
dense,pooled,NaN,1,mean_rank_true,aggregate,NaN
dense,pooled,NaN,1,rank_chance,aggregate,2
dense,pooled,NaN,1,flag_ratio,thr1.25,0.7
dense,pooled,NaN,1,joint_detect_ratio,thr1.25,NaN
dense,pooled,NaN,1,flag_ratio,thr1.50,0.45
dense,pooled,NaN,1,joint_detect_ratio,thr1.50,NaN
dense,pooled,NaN,1,flag_ratio,thr2.00,0.225
dense,pooled,NaN,1,joint_detect_ratio,thr2.00,NaN
dense,pooled,NaN,1,flag_prob,q0.50,0.175
dense,pooled,NaN,1,joint_detect_prob,q0.50,NaN
dense,pooled,NaN,1,flag_prob,q0.75,0.075
dense,pooled,NaN,1,joint_detect_prob,q0.75,NaN
dense,pooled,NaN,1,flag_prob,q0.90,0
dense,pooled,NaN,1,joint_detect_prob,q0.90,NaN
dense,pooled,NaN,1,ess_beta_mean,chain,NaN
dense,pooled,NaN,1,ess_logtau_mean,chain,22.61274706
dense,pooled,NaN,1,lag1_beta_mean,chain,NaN
dense,pooled,NaN,1,acc_rate_mean,chain,0.3238753086
dense,pooled,NaN,1,n_tau_clip_mean,chain,NaN
