dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1
dense,block,3,2,9,1.070370874,0.7725523247,0.38025
dense,block,3,2,10,1.068359548,0.7684832162,0.3785
dense,block,3,2,11,1.139094678,0.8147771669,0.3964375
dense,block,3,2,12,1.151772554,0.8236313352,0.3961875
dense,block,3,3,1,0.5439523617,0.3629017571,0.1371875
dense,block,3,3,2,0.6206217776,0.4221135041,0.17275
dense,block,3,3,3,0.6801526565,0.4634258166,0.2055
dense,block,3,3,4,0.7910749216,0.5588803316,0.2536875
dense,block,3,3,5,0.7862815185,0.5433565833,0.2575625
dense,block,3,3,6,0.851749247,0.6085919672,0.2890625
dense,block,3,3,7,0.9205310019,0.6459852011,0.3085625
dense,block,3,3,8,0.8976410594,0.6381827409,0.304
dense,block,3,3,9,0.9776793025,0.7077958415,0.3418125
dense,block,3,3,10,1.080595384,0.7867845703,0.3843125
dense,block,3,3,11,1.158422269,0.8500484093,0.4055625
dense,block,3,3,12,1.20307637,0.8754548848,0.4218125
dense,pooled,1,1,1,0.3230989299,0.2748503775,0.029875
dense,pooled,1,1,2,0.3140746644,0.2726941044,0.0281875
dense,pooled,1,1,3,0.3167565515,0.2792252189,0.0319375
dense,pooled,1,1,4,0.3324439379,0.2950404539,0.0419375
dense,pooled,1,1,5,0.3570198202,0.3196719376,0.06075
dense,pooled,1,1,6,0.3898630913,0.348860642,0.08075
dense,pooled,1,1,7,0.4256403642,0.3823395284,0.1041875
dense,pooled,1,1,8,0.4688251092,0.4212180384,0.13225
dense,pooled,1,1,9,0.5085472174,0.4549744594,0.162375
dense,pooled,1,1,10,0.549130229,0.4870562077,0.185875
dense,pooled,1,1,11,0.5858046531,0.5085424861,0.2035
dense,pooled,1,1,12,0.6124718126,0.5222240039,0.214
dense,pooled,1,2,1,0.3113313186,0.2611774874,0.04825
dense,pooled,1,2,2,0.3054190072,0.2613378771,0.0481875
dense,pooled,1,2,3,0.3072131891,0.2643396754,0.0554375
dense,pooled,1,2,4,0.3181032701,0.2790871772,0.0681875
dense,pooled,1,2,5,0.332805841,0.2938711944,0.085875
dense,pooled,1,2,6,0.348410403,0.3082811736,0.0985625
dense,pooled,1,2,7,0.3611239916,0.3186754294,0.107875
dense,pooled,1,2,8,0.3747638329,0.327381823,0.1149375
dense,pooled,1,2,9,0.3888826318,0.3373242013,0.121
dense,pooled,1,2,10,0.4043899981,0.3502589176,0.1321875
dense,pooled,1,2,11,0.418463217,0.3557574237,0.1409375
dense,pooled,1,2,12,0.4325525041,0.3590220269,0.14625
dense,pooled,1,3,1,0.2987102061,0.2498812779,0.0406875
dense,pooled,1,3,2,0.2917843706,0.2517471682,0.0406875
dense,pooled,1,3,3,0.2963650905,0.2598949721,0.047625
dense,pooled,1,3,4,0.3067235557,0.2714863308,0.055625
dense,pooled,1,3,5,0.3233406258,0.2854776376,0.06575
dense,pooled,1,3,6,0.3422629237,0.3007015644,0.0764375
dense,pooled,1,3,7,0.3629053223,0.3184415062,0.09275
dense,pooled,1,3,8,0.3873118847,0.3356818803,0.1075
dense,pooled,1,3,9,0.413323846,0.3562981278,0.1263125
dense,pooled,1,3,10,0.4331313112,0.3712127565,0.141625
dense,pooled,1,3,11,0.4493855952,0.3778869775,0.1505625
dense,pooled,1,3,12,0.4661420313,0.3831727657,0.1569375
dense,pooled,2,1,1,0.3524279032,0.302955999,0.0445
dense,pooled,2,1,2,0.3443455873,0.3020620666,0.0425
dense,pooled,2,1,3,0.3498585033,0.3110172729,0.04625
dense,pooled,2,1,4,0.3662789645,0.3277866949,0.05925
dense,pooled,2,1,5,0.3857973983,0.3442682079,0.075125
dense,pooled,2,1,6,0.4125800219,0.3708234758,0.095
dense,pooled,2,1,7,0.438813975,0.3962049374,0.1165
dense,pooled,2,1,8,0.4643200755,0.416452487,0.13625
dense,pooled,2,1,9,0.4887574854,0.4378979137,0.1521875
