dgp,mode,R,T,p,H,estimator,variable,horizon,bias,variance,mse,rmse,coverage,avg_len,coverage_post,avg_len_post
dense,fmar,250,200,2,20,LP,2,20,-0.01321260488,0.02329831771,0.02347289063,0.1532086506,0.86,0.4274249844,NaN,NaN
dense,fmar,250,200,2,20,LP,3,1,-0.02526975273,0.006247169063,0.006885729466,0.08298029565,0.72,0.1904122859,NaN,NaN
dense,fmar,250,200,2,20,LP,3,2,-0.02112877232,0.009165745106,0.009612170126,0.09804167545,0.824,0.2801893288,NaN,NaN
dense,fmar,250,200,2,20,LP,3,3,-0.03099622081,0.01282653551,0.01378730121,0.1174193392,0.812,0.3162277984,NaN,NaN
dense,fmar,250,200,2,20,LP,3,4,-0.02601566105,0.0156227031,0.01629951772,0.1276695646,0.808,0.3410405624,NaN,NaN
dense,fmar,250,200,2,20,LP,3,5,-0.02733502805,0.01765136084,0.0183985646,0.1356413086,0.78,0.355675984,NaN,NaN
dense,fmar,250,200,2,20,LP,3,6,-0.02046411176,0.01702487625,0.01744365612,0.132074434,0.84,0.366797773,NaN,NaN
dense,fmar,250,200,2,20,LP,3,7,-0.01482196781,0.01572118629,0.01594087702,0.126257186,0.88,0.3735999591,NaN,NaN
dense,fmar,250,200,2,20,LP,3,8,-0.01527691682,0.01551173258,0.01574511677,0.1254795472,0.86,0.3761068269,NaN,NaN
dense,fmar,250,200,2,20,LP,3,9,-0.02126010682,0.01631562658,0.01676761872,0.1294898402,0.848,0.3799859118,NaN,NaN
dense,fmar,250,200,2,20,LP,3,10,-0.02216627452,0.01540842329,0.01589976701,0.1260942783,0.864,0.3820965389,NaN,NaN
dense,fmar,250,200,2,20,LP,3,11,-0.009453265453,0.01412078219,0.01421014642,0.1192063187,0.888,0.3833801342,NaN,NaN
dense,fmar,250,200,2,20,LP,3,12,-0.002183882723,0.01415485835,0.01415962769,0.1189942339,0.9,0.3847951937,NaN,NaN
dense,fmar,250,200,2,20,LP,3,13,-0.008965560779,0.01483057194,0.01491095322,0.1221104141,0.872,0.3811514309,NaN,NaN
