dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1,tau_q05,tau_q25,tau_q50,tau_q75,tau_q95
sparse,block,1,3,3,0.6181285266,0.4297956402,0.1729914286,0.04907846177,0.2041441609,0.4297956402,0.790376639,1.765726017
sparse,block,1,3,4,0.6810688828,0.4813182395,0.2029085714,0.06342547384,0.2362742687,0.4813182395,0.8675580293,1.914024193
sparse,block,1,3,5,0.7500795506,0.5389305297,0.2363514286,0.07647202956,0.2734055854,0.5389305297,0.949994436,2.071064499
sparse,block,1,3,6,0.8174167761,0.5954655285,0.2696571429,0.09276153293,0.3108515553,0.5954655285,1.031756145,2.222730268
sparse,block,1,3,7,0.8643085189,0.6321909331,0.2936057143,0.100943271,0.33125127,0.6321909331,1.091070652,2.336481565
sparse,block,1,3,8,0.913525058,0.6676977419,0.3162228571,0.1172726297,0.3585041978,0.6676977419,1.146619154,2.463861622
sparse,block,1,3,9,0.9505677214,0.697865183,0.3314314286,0.1287573251,0.3787964147,0.697865183,1.190678045,2.524972469
sparse,block,1,3,10,0.9833945896,0.7205938882,0.3464514286,0.1314270444,0.3885218518,0.7205938882,1.231629292,2.640670551
sparse,block,1,3,11,1.011434187,0.7436681356,0.3575857143,0.1368271642,0.4055273786,0.7436681356,1.26686633,2.692319933
sparse,block,1,3,12,1.024231822,0.7499348182,0.3606657143,0.136867034,0.4043917582,0.7499348182,1.282243748,2.746763121
sparse,block,1,3,13,1.031027671,0.7563668269,0.3648057143,0.1443766451,0.4095206475,0.7563668269,1.290108046,2.760670565
sparse,block,1,3,14,1.061268393,0.7755579398,0.3759628571,0.1428589347,0.4210856177,0.7755579398,1.330257091,2.850362567
sparse,block,1,3,15,1.063136352,0.778269115,0.3751514286,0.1393069125,0.4199878886,0.778269115,1.335353444,2.855862895
sparse,block,1,3,16,1.072238381,0.7837821075,0.3779942857,0.1374132892,0.4218290042,0.7837821075,1.345727147,2.896448283
sparse,block,1,3,17,1.085870934,0.7917272488,0.3821685714,0.144432381,0.4278023747,0.7917272488,1.35653826,2.926704554
sparse,block,1,3,18,1.082212302,0.7909420386,0.3825657143,0.1428618058,0.4262945325,0.7909420386,1.35307103,2.916057854
sparse,block,1,3,19,1.092819745,0.7988745565,0.3846285714,0.1450093544,0.4334902003,0.7988745565,1.366320002,2.930987293
sparse,block,1,3,20,1.091014591,0.7960854412,0.3844828571,0.1420524182,0.4266796977,0.7960854412,1.36907679,2.92830978
sparse,block,2,1,1,0.5525568354,0.3744609484,0.1419342857,0.04051480158,0.1721182297,0.3744609484,0.7087375449,1.610710249
sparse,block,2,1,2,0.5165965711,0.3485716411,0.1262114286,0.03753346773,0.1608396801,0.3485716411,0.6592393122,1.509781783
sparse,block,2,1,3,0.6377111932,0.4423611879,0.1821371429,0.04865713726,0.2063448867,0.4423611879,0.8168915775,1.820635697
sparse,block,2,1,4,0.7073799606,0.5008117959,0.2162885714,0.06319894968,0.2433566852,0.5008117959,0.9028441631,1.987178062
sparse,block,2,1,5,0.7832467709,0.5603803026,0.2528114286,0.07586227956,0.2807111969,0.5603803026,0.993366092,2.172565344
sparse,block,2,1,6,0.8657271219,0.6326263818,0.2942828571,0.0974650564,0.3313244573,0.6326263818,1.097030202,2.343489115
sparse,block,2,1,7,0.9377733538,0.6905098045,0.3269828571,0.1122037013,0.3656403708,0.6905098045,1.182736295,2.511702881
sparse,block,2,1,8,1.017065693,0.7466683215,0.35946,0.1374232428,0.4055168275,0.7466683215,1.271926054,2.718053468
sparse,block,2,1,9,1.074131537,0.7915206123,0.3847257143,0.1527187171,0.4363088631,0.7915206123,1.343795685,2.84831988
sparse,block,2,1,10,1.113954233,0.8203849644,0.3999085714,0.1589076342,0.4521415354,0.8203849644,1.390260491,2.968691358
sparse,block,2,1,11,1.139464688,0.8330213493,0.4047314286,0.1602083015,0.455910675,0.8330213493,1.421593562,3.039259598
sparse,block,2,1,12,1.17276751,0.8590707123,0.4166942857,0.1698674622,0.4712891256,0.8590707123,1.465059769,3.127374972
sparse,block,2,1,13,1.199299842,0.8818666811,0.4261171429,0.1700140414,0.4858612596,0.8818666811,1.495732531,3.198652525
sparse,block,2,1,14,1.209345768,0.89136519,0.4312771429,0.1700509303,0.4911162807,0.89136519,1.508306916,3.227312536
sparse,block,2,1,15,1.222293513,0.8954944887,0.4330885714,0.1652098876,0.4876599325,0.8954944887,1.527248667,3.278269949
sparse,block,2,1,16,1.220794287,0.8919880576,0.4297971429,0.1628811892,0.4843420868,0.8919880576,1.52747672,3.278064403
sparse,block,2,1,17,1.216161383,0.881208686,0.4275257143,0.1628219414,0.476873853,0.881208686,1.516621817,3.296541956
sparse,block,2,1,18,1.214799491,0.8795700916,0.4244885714,0.1550168415,0.4705255179,0.8795700916,1.52083903,3.309081841
sparse,block,2,1,19,1.212111879,0.8760190972,0.4198314286,0.161571221,0.4717768973,0.8760190972,1.518615679,3.286339209
sparse,block,2,1,20,1.205991478,0.8687945931,0.4179085714,0.1604628457,0.4682192577,0.8687945931,1.504433972,3.276878506
sparse,block,2,2,1,0.5686038273,0.3884552972,0.1492171429,0.04118720863,0.1796373892,0.3884552972,0.7275179545,1.655901409
sparse,block,2,2,2,0.5428287246,0.3704017715,0.1379771429,0.04180066936,0.1718097324,0.3704017715,0.6947304079,1.576759034
sparse,block,2,2,3,0.6334487384,0.4414060783,0.1808914286,0.04845528288,0.2070203291,0.4414060783,0.8158637911,1.808901845
sparse,block,2,2,4,0.6934238831,0.4907378746,0.20926,0.05864362095,0.2355791146,0.4907378746,0.8875253995,1.947276624
sparse,block,2,2,5,0.7561090301,0.5425455076,0.2406771429,0.07145384782,0.2684701441,0.5425455076,0.968172455,2.099959315
sparse,block,2,2,6,0.8338169731,0.603926013,0.2784428571,0.08749716313,0.3093159815,0.603926013,1.058494134,2.285709619
sparse,block,2,2,7,0.9001204888,0.6522655741,0.30838,0.09920289334,0.3385611933,0.6522655741,1.139318164,2.459132282
sparse,block,2,2,8,0.9364668464,0.6846640571,0.3243514286,0.1079411902,0.3559788844,0.6846640571,1.18486729,2.543551422
sparse,block,2,2,9,0.9956934309,0.7267246172,0.3478342857,0.1195418072,0.3774760307,0.7267246172,1.254393257,2.699671276
sparse,block,2,2,10,1.029308789,0.7506845239,0.36226,0.1263496018,0.3991179745,0.7506845239,1.293415335,2.776202593
sparse,block,2,2,11,1.065501443,0.7796191782,0.3771171429,0.1285143608,0.4122129956,0.7796191782,1.344523562,2.868274873
