equation,block,block_held_at_1,h,lambda_h,tau_block,tau_pooled,d_fmar_ols,d_block_ols,d_pooled_ols,ratio_block,ratio_pooled
hicp,stoxx,0,36,0.452284,1.62353,1.20082,0.0190931,0.0160798,0.0172728,0.84218,0.90466
stoxx,mps,0,36,0.452284,0.04897,0.01336,74.6963,135.377,139.032,1.81236,1.86130
stoxx,i1y,0,36,0.452284,1.74767,1.78069,41.9418,41.2323,41.2305,0.98308,0.98304
stoxx,ip,0,36,0.452284,2.24259,2.21565,2.80137,2.36529,2.33203,0.84433,0.83246
stoxx,hicp,0,36,0.452284,0.26126,0.19225,4.6932,4.75987,4.82579,1.01420,1.02825
stoxx,stoxx,0,36,0.452284,1.44236,1.37731,0.572857,0.546921,0.548914,0.95473,0.95820
mps,mps,0,37,0.442336,0.13147,0.09610,0.158711,0.191498,0.207602,1.20658,1.30805
mps,i1y,0,37,0.442336,0.39224,0.03580,0.326976,0.32775,0.328234,1.00237,1.00385
mps,ip,0,37,0.442336,0.26996,0.05743,0.0114492,0.0118096,0.0118845,1.03147,1.03801
mps,hicp,0,37,0.442336,0.28319,0.00706,0.0487402,0.0532379,0.054054,1.09228,1.10902
mps,stoxx,0,37,0.442336,0.46265,0.03226,0.00368788,0.00378056,0.00382733,1.02513,1.03781
i1y,mps,0,37,0.442336,0.03295,0.00360,3.46162,5.19564,5.29769,1.50093,1.53041
i1y,i1y,0,37,0.442336,1.70772,1.60585,2.3911,2.37351,2.37854,0.99264,0.99475
i1y,ip,0,37,0.442336,2.17380,2.29319,0.166353,0.144712,0.141277,0.86991,0.84926
i1y,hicp,0,37,0.442336,0.57880,0.54247,0.28625,0.300558,0.302687,1.04999,1.05742
i1y,stoxx,0,37,0.442336,1.21661,1.21019,0.0391161,0.0378475,0.0377512,0.96757,0.96511
ip,mps,0,37,0.442336,0.04567,0.00742,14.6172,38.8207,39.9143,2.65581,2.73063
ip,i1y,0,37,0.442336,1.89408,1.80884,13.8522,13.5733,13.6014,0.97987,0.98190
ip,ip,0,37,0.442336,1.47872,1.44338,0.786562,0.785813,0.788057,0.99905,1.00190
ip,hicp,0,37,0.442336,0.41591,0.32935,1.16072,1.35513,1.3927,1.16749,1.19986
ip,stoxx,0,37,0.442336,0.45544,0.30988,0.160828,0.165303,0.166674,1.02782,1.03635
hicp,mps,0,37,0.442336,0.05289,0.00829,3.99258,4.97382,5.16015,1.24576,1.29244
hicp,i1y,0,37,0.442336,2.76853,3.17555,1.15341,1.08116,1.06901,0.93737,0.92683
hicp,ip,0,37,0.442336,4.70234,5.28951,0.291485,0.166041,0.151888,0.56964,0.52108
hicp,hicp,0,37,0.442336,2.97829,3.22485,0.510306,0.284774,0.260121,0.55805,0.50974
hicp,stoxx,0,37,0.442336,1.08113,1.12643,0.0229353,0.022886,0.022892,0.99785,0.99811
