dgp,scale_estimator,misspec_block,is_false_positive_setting,metric,index,value
sparse,pooled,1,0,max_argmax_freq_early,early,0.934
sparse,pooled,1,0,argmax_cell,equation_all,3
sparse,pooled,1,0,argmax_cell,block_all,1
sparse,pooled,1,0,argmax_cell_early,equation_early,3
sparse,pooled,1,0,argmax_cell_early,block_early,1
sparse,pooled,1,0,argmax_chance,per_cell,0.3333333333
sparse,pooled,1,0,mean_rank_true,aggregate,1.53
sparse,pooled,1,0,rank_chance,aggregate,2
sparse,pooled,1,0,flag_ratio,thr1.25,0.672
sparse,pooled,1,0,joint_detect_ratio,thr1.25,0.45
sparse,pooled,1,0,flag_ratio,thr1.50,0.44
sparse,pooled,1,0,joint_detect_ratio,thr1.50,0.316
sparse,pooled,1,0,flag_ratio,thr2.00,0.186
sparse,pooled,1,0,joint_detect_ratio,thr2.00,0.148
sparse,pooled,1,0,flag_prob,q0.50,0.77
sparse,pooled,1,0,joint_detect_prob,q0.50,0.736
sparse,pooled,1,0,flag_prob,q0.75,0.51
sparse,pooled,1,0,joint_detect_prob,q0.75,0.504
sparse,pooled,1,0,flag_prob,q0.90,0.212
sparse,pooled,1,0,joint_detect_prob,q0.90,0.212
sparse,pooled,1,0,ess_beta_mean,chain,NaN
sparse,pooled,1,0,ess_logtau_mean,chain,38.60532775
sparse,pooled,1,0,lag1_beta_mean,chain,NaN
sparse,pooled,1,0,acc_rate_mean,chain,0.3125019733
sparse,pooled,1,0,n_tau_clip_mean,chain,NaN
