instrument,b,t_ehw,t_hac,F_eff,R2,N,n_nonzero,sd_z_bp,naive_b,naive_t,naive_F,lead1_t,lead2_t,lead3_t,lag1_t,pred_F,pred_p,ar1,F_excl_crisis,F_winsor,F_2001_08,F_2009_11,F_2012_19,top_month,top_dfbeta,mop_verdict
z_gcs_3m_sum_bs,0.002347,0.779,0.721,0.520,0.0076,228,226,3.623,0.002038,0.388,0.151,-1.056,1.135,0.252,0.864,0.000,1.0000,-0.173,6.634,0.486,0.008,13.575,2.425,2008-11,-0.823,WEAK
z_gcs_3m_kilian_bs,0.005052,1.406,1.315,1.728,0.0226,228,226,2.895,0.004702,0.756,0.571,-0.295,0.415,0.583,0.060,0.000,1.0000,-0.027,19.031,1.599,0.212,15.747,4.336,2008-11,-0.827,WEAK
z_gcs_3m_kilianfix_bs,0.005537,1.534,1.426,2.034,0.0249,228,226,2.773,0.005198,0.813,0.661,-0.183,0.316,0.630,-0.062,0.000,1.0000,0.018,19.656,1.875,0.340,13.711,4.232,2008-11,-0.783,WEAK
z_gcs_1y_sum_bs,0.003775,2.171,2.079,4.323,0.0382,228,226,5.045,0.003859,1.268,1.607,-0.576,0.012,0.558,-0.344,0.000,1.0000,-0.088,8.869,3.583,1.635,6.696,8.770,2008-06,0.520,WEAK
z_gcs_1y_kilian_bs,0.005292,3.167,2.966,8.797,0.0544,228,226,4.290,0.005601,1.902,3.616,-0.008,-0.118,0.535,-0.668,0.000,1.0000,0.081,23.985,8.686,4.474,7.204,10.881,2008-06,0.599,WEAK
z_gcs_1y_kilianfix_bs,0.005367,3.036,2.863,8.200,0.0524,228,226,4.153,0.005760,1.893,3.582,0.151,-0.164,0.498,-0.696,0.000,1.0000,0.119,23.335,8.144,4.155,6.107,11.156,2008-06,0.583,WEAK
z_gc_1m_adj_jk_sum_bs,-0.002112,-0.489,-0.489,0.239,0.0025,228,205,2.327,-0.003758,-0.591,0.350,0.146,0.315,-0.104,0.022,0.000,1.0000,-0.145,0.048,0.523,1.723,7.171,0.155,2008-11,-0.795,WEAK
z_gc_1m_adj_jk_kilian_bs,-0.000431,-0.083,-0.082,0.007,0.0001,228,205,1.910,-0.002904,-0.348,0.121,-0.040,0.608,0.016,-0.163,0.000,1.0000,-0.040,1.562,0.100,0.783,7.801,0.176,2008-11,-0.822,WEAK
z_gc_1m_adj_jk_kilianfix_bs,-0.000257,-0.047,-0.046,0.002,0.0000,228,205,1.816,-0.002959,-0.333,0.111,-0.040,0.637,0.045,-0.216,0.000,1.0000,0.014,1.684,0.074,0.644,7.828,0.088,2008-11,-0.802,WEAK
z_gc_1m_adj_info_sum_bs,0.001454,0.370,0.370,0.137,0.0006,228,205,1.695,0.004910,0.726,0.527,-1.509,1.608,-0.642,-0.019,0.000,1.0000,0.008,0.000,0.028,0.630,5.476,12.627,2001-06,-0.697,WEAK
z_gc_1m_adj_info_kilian_bs,0.004078,1.150,1.172,1.373,0.0033,228,205,1.381,0.008607,1.131,1.280,-1.343,0.743,0.102,-0.730,0.000,1.0000,0.283,0.570,0.693,0.323,5.939,13.067,2001-10,-0.620,WEAK
z_gc_1m_adj_info_kilianfix_bs,0.004260,1.188,1.204,1.450,0.0034,228,205,1.339,0.009117,1.167,1.361,-1.235,0.587,0.209,-0.781,0.000,1.0000,0.333,0.619,0.786,0.275,5.617,12.612,2001-10,-0.613,WEAK
z_gc_1y_jk_sum_bs,0.001681,0.428,0.398,0.158,0.0036,228,205,3.455,-0.000458,-0.069,0.005,-1.021,0.154,0.465,-0.328,0.000,1.0000,-0.172,9.921,0.021,0.007,6.706,0.049,2008-11,-0.823,WEAK
z_gc_1y_jk_kilian_bs,0.002834,0.583,0.533,0.285,0.0072,228,205,2.922,-0.000156,-0.018,0.000,-0.920,0.208,0.543,-0.635,0.000,1.0000,-0.029,18.427,0.096,0.050,8.908,0.152,2008-11,-0.826,WEAK
z_gc_1y_jk_kilianfix_bs,0.002973,0.575,0.523,0.273,0.0072,228,205,2.773,-0.000281,-0.030,0.001,-0.831,0.171,0.548,-0.704,0.000,1.0000,0.026,18.706,0.097,0.053,8.289,0.092,2008-11,-0.813,WEAK
z_gc_1y_info_sum_bs,0.004955,2.400,2.226,4.956,0.0157,228,205,2.462,0.006741,1.763,3.109,-0.631,0.565,0.822,-0.164,0.000,1.0000,-0.113,7.806,4.486,1.149,5.543,16.393,2011-08,-0.427,WEAK
z_gc_1y_info_kilian_bs,0.004933,1.999,2.055,4.223,0.0106,228,205,2.032,0.008005,1.814,3.289,-0.097,-0.287,1.163,-0.452,0.000,1.0000,0.102,7.943,3.755,0.853,3.891,18.816,2001-10,-0.489,WEAK
z_gc_1y_info_kilianfix_bs,0.004860,1.887,2.015,4.061,0.0095,228,205,1.955,0.008275,1.832,3.358,0.001,-0.395,1.177,-0.485,0.000,1.0000,0.158,7.215,3.565,0.889,3.268,20.700,2001-10,-0.493,WEAK
z_gc_path1y_sum_bs,0.004372,1.335,1.187,1.409,0.0242,228,205,3.464,0.003272,0.527,0.278,-0.965,0.016,1.192,-0.668,0.000,1.0000,-0.144,28.211,0.635,0.883,3.599,1.232,2008-11,-0.739,WEAK
z_gc_path1y_kilian_bs,0.004679,1.111,0.972,0.945,0.0195,228,205,2.908,0.003306,0.395,0.156,-0.534,-0.485,1.344,-0.969,0.000,1.0000,0.005,27.061,0.425,0.564,2.363,2.452,2008-11,-0.715,WEAK
z_gc_path1y_kilianfix_bs,0.004707,1.066,0.928,0.862,0.0179,228,205,2.770,0.003284,0.366,0.134,-0.423,-0.562,1.316,-1.028,0.000,1.0000,0.056,25.016,0.420,0.530,1.568,2.781,2008-11,-0.682,WEAK
