equation,block,block_held_at_1,h,lambda_h,tau_block,tau_pooled,d_fmar_ols,d_block_ols,d_pooled_ols,ratio_block,ratio_pooled
i1y,stoxx,0,32,0.460005,1.02670,1.31615,0.0269624,0.0258245,0.0246428,0.95780,0.91397
ip,mps,1,32,0.460005,1.00000,1.00000,14.6765,9.22034,7.80069,0.62824,0.53151
ip,i1y,0,32,0.460005,2.37550,2.98874,12.0831,11.7749,11.642,0.97450,0.96350
ip,ip,0,32,0.460005,1.68984,2.05885,0.754362,0.653666,0.604449,0.86651,0.80127
ip,hicp,0,32,0.460005,0.34281,0.32857,1.19213,1.21579,1.21753,1.01984,1.02131
ip,stoxx,0,32,0.460005,0.35794,0.34563,0.123156,0.12569,0.125945,1.02057,1.02264
hicp,mps,1,32,0.460005,1.00000,1.00000,3.89694,1.76975,1.01777,0.45414,0.26117
hicp,i1y,0,32,0.460005,4.97237,8.83861,1.21292,0.871407,0.754131,0.71844,0.62175
hicp,ip,0,32,0.460005,5.82773,9.13129,0.298181,0.149985,0.104183,0.50300,0.34940
hicp,hicp,0,32,0.460005,4.08600,6.03438,0.654364,0.226923,0.139377,0.34678,0.21300
hicp,stoxx,0,32,0.460005,0.80139,1.08420,0.0260834,0.0255173,0.0246912,0.97829,0.94663
stoxx,mps,1,32,0.460005,1.00000,1.00000,42.8757,33.755,27.6159,0.78728,0.64409
stoxx,i1y,0,32,0.460005,2.03621,3.87582,39.2074,38.1805,36.245,0.97381,0.92444
stoxx,ip,0,32,0.460005,2.50609,3.34219,1.94842,1.55357,1.38175,0.79735,0.70916
stoxx,hicp,0,32,0.460005,0.44002,0.27892,3.00117,3.14261,3.26478,1.04713,1.08784
stoxx,stoxx,0,32,0.460005,1.49591,1.66914,0.471774,0.434492,0.416969,0.92097,0.88383
mps,mps,1,33,0.477787,1.00000,1.00000,0.155124,0.156885,0.158485,1.01135,1.02166
mps,i1y,0,33,0.477787,0.44115,0.03752,0.353896,0.354435,0.355038,1.00152,1.00323
mps,ip,0,33,0.477787,0.48891,0.05934,0.016792,0.0171512,0.0173959,1.02139,1.03597
mps,hicp,0,33,0.477787,0.60678,0.04607,0.0348049,0.0385142,0.0427919,1.10657,1.22948
mps,stoxx,0,33,0.477787,0.30511,0.06819,0.0041511,0.00426125,0.00428931,1.02653,1.03329
i1y,mps,1,33,0.477787,1.00000,1.00000,6.56762,3.25195,2.76213,0.49515,0.42057
i1y,i1y,0,33,0.477787,1.91144,1.96866,1.3859,1.34113,1.33725,0.96769,0.96489
i1y,ip,0,33,0.477787,2.97606,3.33448,0.213589,0.146744,0.129733,0.68704,0.60740
i1y,hicp,0,33,0.477787,0.53670,0.56658,0.301114,0.300982,0.295035,0.99956,0.97981
i1y,stoxx,0,33,0.477787,0.81763,1.26902,0.0278374,0.0276898,0.0256857,0.99470,0.92270
ip,mps,1,33,0.477787,1.00000,1.00000,10.7825,7.54398,6.72766,0.69965,0.62394
ip,i1y,0,33,0.477787,2.26088,2.77648,6.52666,6.0739,5.89936,0.93063,0.90389
ip,ip,0,33,0.477787,1.62484,1.84587,0.650174,0.571447,0.543355,0.87891,0.83571
ip,hicp,0,33,0.477787,0.20756,0.30556,1.16521,1.22997,1.2225,1.05558,1.04917
ip,stoxx,0,33,0.477787,0.40646,0.36762,0.139259,0.142043,0.142911,1.02000,1.02623
hicp,mps,1,33,0.477787,1.00000,1.00000,3.95663,1.77981,1.41771,0.44983,0.35831
hicp,i1y,0,33,0.477787,3.71304,4.89022,1.00274,0.734851,0.678432,0.73284,0.67658
hicp,ip,0,33,0.477787,5.59132,6.56885,0.281911,0.136338,0.117483,0.48362,0.41674
hicp,hicp,0,33,0.477787,3.70005,4.06716,0.601419,0.273183,0.247117,0.45423,0.41089
hicp,stoxx,0,33,0.477787,1.10272,1.19061,0.0163654,0.0144434,0.0142146,0.88256,0.86857
stoxx,mps,1,33,0.477787,1.00000,1.00000,52.6647,38.6351,35.7418,0.73360,0.67867
stoxx,i1y,0,33,0.477787,2.11782,2.62745,33.6458,32.6228,32.2098,0.96960,0.95732
stoxx,ip,0,33,0.477787,2.49310,2.78814,2.62977,2.22916,2.16455,0.84766,0.82309
stoxx,hicp,0,33,0.477787,0.41594,0.20050,4.00519,4.05562,4.17741,1.01259,1.04300
stoxx,stoxx,0,33,0.477787,1.49716,1.55094,0.41598,0.385842,0.378573,0.92755,0.91007
mps,mps,1,34,0.463045,1.00000,1.00000,0.151725,0.153608,0.154853,1.01242,1.02062
mps,i1y,0,34,0.463045,0.37009,0.03763,0.359612,0.360484,0.360835,1.00242,1.00340
mps,ip,0,34,0.463045,0.44867,0.05851,0.0179431,0.018295,0.0185427,1.01961,1.03342
mps,hicp,0,34,0.463045,0.38132,0.04283,0.038377,0.0438176,0.0457565,1.14177,1.19229
mps,stoxx,0,34,0.463045,0.39170,0.06682,0.0037958,0.00389272,0.00393229,1.02553,1.03596
i1y,mps,1,34,0.463045,1.00000,1.00000,5.91079,2.93709,2.61796,0.49690,0.44291
