dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1,tau_q05,tau_q25,tau_q50,tau_q75,tau_q95
dense,block,1,3,3,0.6952498107,0.4757479453,0.2079314286,0.05335695186,0.2221204495,0.4757479453,0.8869378297,2.006571585
dense,block,1,3,4,0.7765563713,0.5432405131,0.2467085714,0.06825637383,0.263418299,0.5432405131,0.9867767446,2.198673927
dense,block,1,3,5,0.8460782374,0.6015869386,0.2803257143,0.08611350549,0.3033768314,0.6015869386,1.073922734,2.359621998
dense,block,1,3,6,0.8865220922,0.636713324,0.2993314286,0.09450145036,0.3244963323,0.636713324,1.12132145,2.459690737
dense,block,1,3,7,0.9329396085,0.6731945314,0.3194457143,0.101163094,0.347548777,0.6731945314,1.176806842,2.57266567
dense,block,1,3,8,0.9907677671,0.7169339839,0.3440857143,0.1153353359,0.3763758934,0.7169339839,1.242755762,2.715704847
dense,block,1,3,9,1.038014578,0.7476486489,0.3641257143,0.1222062416,0.3923552831,0.7476486489,1.306626775,2.850095754
dense,block,1,3,10,1.09760122,0.7921793057,0.3880971429,0.1368471947,0.4198903788,0.7921793057,1.37473473,2.988853606
dense,block,1,3,11,1.12690272,0.8143198129,0.3990285714,0.1392431272,0.4329466789,0.8143198129,1.409208357,3.07093226
dense,block,1,3,12,1.160203731,0.8380095563,0.4073371429,0.1471514872,0.4480780118,0.8380095563,1.45149821,3.15976541
dense,block,1,3,13,1.178279953,0.849831417,0.4149485714,0.153000294,0.4558213569,0.849831417,1.471556614,3.220987129
dense,block,1,3,14,1.208042439,0.8760617106,0.4235542857,0.1525691254,0.470255321,0.8760617106,1.514686733,3.277659515
dense,block,1,3,15,1.20880037,0.8726591458,0.4233542857,0.1568482209,0.4644966795,0.8726591458,1.505899284,3.27762231
dense,block,1,3,16,1.224326645,0.8857592777,0.4326,0.1665750478,0.4813103324,0.8857592777,1.523900456,3.314147344
dense,block,1,3,17,1.202870815,0.8702584136,0.4249257143,0.1582559242,0.468983076,0.8702584136,1.500256206,3.267916127
dense,block,1,3,18,1.202336021,0.8721075338,0.4261314286,0.165811457,0.4725352266,0.8721075338,1.501746226,3.262027342
dense,block,1,3,19,1.222238449,0.8855807828,0.4310228571,0.1552883023,0.4771280061,0.8855807828,1.523747584,3.325572799
dense,block,1,3,20,1.26158528,0.9093725047,0.44032,0.1653257171,0.4898354306,0.9093725047,1.570085331,3.451205554
dense,block,2,1,1,0.5237714321,0.3471513162,0.1285942857,0.03713651156,0.1576925369,0.3471513162,0.6656513286,1.55486552
dense,block,2,1,2,0.6267999481,0.4155366515,0.1763771429,0.0459822091,0.1912486555,0.4155366515,0.7989275503,1.855206325
dense,block,2,1,3,0.703782136,0.4765597795,0.2125942857,0.04929699286,0.2188727791,0.4765597795,0.8961572939,2.065637892
dense,block,2,1,4,0.8007086638,0.5559066203,0.2553028571,0.07015717781,0.2693078763,0.5559066203,1.014798567,2.288944108
dense,block,2,1,5,0.8712489393,0.6176090329,0.2919771429,0.08698720741,0.3126172431,0.6176090329,1.101842932,2.433203088
dense,block,2,1,6,0.9488486037,0.6810647414,0.32796,0.1104336651,0.3562271001,0.6810647414,1.19554489,2.608287946
dense,block,2,1,7,1.003597941,0.7212643843,0.3490914286,0.121171737,0.382745433,0.7212643843,1.248984264,2.751277182
dense,block,2,1,8,1.039494988,0.750316553,0.3641657143,0.1342867903,0.402427829,0.750316553,1.301242746,2.824365942
