instrument,b,t_ehw,t_hac,F_eff,R2,N,n_nonzero,sd_z_bp,naive_b,naive_t,naive_F,lead1_t,lead2_t,lead3_t,lag1_t,pred_F,pred_p,ar1,F_excl_crisis,F_winsor,F_2001_08,F_2009_11,F_2012_19,top_month,top_dfbeta,mop_verdict
z_sp_1m_raw_kilianfix_bs,0.006605,1.066,1.031,1.063,0.0171,228,226,1.728,0.010744,1.197,1.432,1.596,0.328,-2.650,-0.362,0.000,1.0000,0.140,0.340,4.101,0.524,3.527,0.396,2001-07,-1.784,WEAK
z_sp_3m_sum_bs,-0.001899,-0.247,-0.272,0.074,0.0012,228,226,1.580,0.000255,0.032,0.001,0.221,-0.988,-0.273,-0.622,0.000,1.0000,-0.072,0.081,0.040,1.544,8.851,0.000,2001-09,-0.743,WEAK
z_sp_3m_kilian_bs,-0.000165,-0.021,-0.024,0.001,0.0000,228,226,1.225,0.002042,0.211,0.045,0.123,-0.765,-0.665,-2.205,0.000,1.0000,0.214,0.002,0.075,0.437,2.871,0.010,2008-10,-0.510,WEAK
z_sp_3m_kilianfix_bs,-0.000124,-0.017,-0.019,0.000,0.0000,228,226,1.214,0.002032,0.212,0.045,0.086,-0.660,-0.707,-2.241,0.000,1.0000,0.229,0.004,0.068,0.341,1.686,0.008,2008-10,-0.521,WEAK
z_sp_1y_sum_bs,0.001435,0.261,0.327,0.107,0.0019,228,226,2.624,0.003007,0.440,0.194,0.668,-0.479,-0.464,0.224,0.000,1.0000,-0.121,0.151,0.044,0.007,0.208,3.029,2008-11,0.831,WEAK
z_sp_1y_kilian_bs,0.005932,1.482,1.451,2.104,0.0190,228,226,2.031,0.008128,0.891,0.794,0.717,0.428,-0.855,0.020,0.000,1.0000,0.187,0.861,1.110,1.027,0.866,1.055,2008-11,0.738,WEAK
z_sp_1y_kilianfix_bs,0.005951,1.611,1.515,2.296,0.0189,228,226,2.019,0.008134,0.899,0.808,0.726,0.483,-0.853,-0.000,0.000,1.0000,0.202,0.765,1.320,1.239,0.693,0.895,2008-11,0.680,WEAK
z_gcs_1m_adj_sum_bs,0.004411,2.709,2.711,7.351,0.0450,228,226,4.204,0.004871,1.812,3.284,-0.864,0.510,0.520,-0.527,0.000,1.0000,-0.172,4.835,7.588,1.408,7.434,1.325,2001-07,-0.450,WEAK
z_gcs_1m_adj_kilian_bs,0.005290,2.575,2.512,6.312,0.0406,228,226,3.327,0.006481,1.789,3.199,0.707,-0.061,0.550,-2.263,0.000,1.0000,0.034,3.350,5.876,0.594,10.606,1.936,2011-08,0.443,WEAK
z_gcs_1m_adj_kilianfix_bs,0.005260,2.467,2.416,5.837,0.0375,228,226,3.219,0.006621,1.751,3.068,0.971,-0.137,0.554,-2.409,0.000,1.0000,0.080,2.876,5.143,0.462,10.137,1.746,2011-08,0.449,WEAK
