dgp,scale_estimator,misspec_block,is_false_positive_setting,metric,index,value
dense,pooled,NaN,0,detect_prob_by_eq_early,eq3,NaN
dense,pooled,NaN,0,mean_rank_true_by_eq,eq3,NaN
dense,pooled,NaN,0,max_argmax_freq,all_horizons,0.38
dense,pooled,NaN,0,max_argmax_freq_early,early,0.388
dense,pooled,NaN,0,argmax_cell,equation_all,2
dense,pooled,NaN,0,argmax_cell,block_all,3
dense,pooled,NaN,0,argmax_cell_early,equation_early,2
dense,pooled,NaN,0,argmax_cell_early,block_early,1
dense,pooled,NaN,0,argmax_chance,per_cell,0.3333333333
dense,pooled,NaN,0,mean_rank_true,aggregate,NaN
dense,pooled,NaN,0,rank_chance,aggregate,2
dense,pooled,NaN,0,flag_ratio,thr1.25,0.7
dense,pooled,NaN,0,joint_detect_ratio,thr1.25,NaN
dense,pooled,NaN,0,flag_ratio,thr1.50,0.556
dense,pooled,NaN,0,joint_detect_ratio,thr1.50,NaN
dense,pooled,NaN,0,flag_ratio,thr2.00,0.32
dense,pooled,NaN,0,joint_detect_ratio,thr2.00,NaN
dense,pooled,NaN,0,flag_prob,q0.50,0.168
dense,pooled,NaN,0,joint_detect_prob,q0.50,NaN
dense,pooled,NaN,0,flag_prob,q0.75,0.02
dense,pooled,NaN,0,joint_detect_prob,q0.75,NaN
dense,pooled,NaN,0,flag_prob,q0.90,0.004
dense,pooled,NaN,0,joint_detect_prob,q0.90,NaN
dense,pooled,NaN,0,ess_beta_mean,chain,NaN
dense,pooled,NaN,0,ess_logtau_mean,chain,32.167144
dense,pooled,NaN,0,lag1_beta_mean,chain,NaN
dense,pooled,NaN,0,acc_rate_mean,chain,0.3128404578
dense,pooled,NaN,0,n_tau_clip_mean,chain,NaN
