instrument,estimator,variable,h,theta_25bp,lo_25bp,hi_25bp
z_gcs_1m_adj_sum,BVAR,ip,25,-0.698533,-1.547393,0.157281
z_gcs_1m_adj_sum,BVAR,ip,26,-0.745229,-1.599894,0.086173
z_gcs_1m_adj_sum,BVAR,ip,27,-0.782838,-1.641044,0.034101
z_gcs_1m_adj_sum,BVAR,ip,28,-0.811880,-1.673918,-0.000988
z_gcs_1m_adj_sum,BVAR,ip,29,-0.832924,-1.712340,-0.031616
z_gcs_1m_adj_sum,BVAR,ip,30,-0.846579,-1.736793,-0.081272
z_gcs_1m_adj_sum,BVAR,ip,31,-0.853471,-1.718087,-0.139447
z_gcs_1m_adj_sum,BVAR,ip,32,-0.854227,-1.762575,-0.162957
z_gcs_1m_adj_sum,BVAR,ip,33,-0.849463,-1.789814,-0.169315
z_gcs_1m_adj_sum,BVAR,ip,34,-0.839771,-1.783131,-0.172360
z_gcs_1m_adj_sum,BVAR,ip,35,-0.825711,-1.815735,-0.186756
z_gcs_1m_adj_sum,BVAR,ip,36,-0.807813,-1.813972,-0.170030
z_gcs_1m_adj_sum,BVAR,ip,37,-0.786575,-1.751870,-0.156081
z_gcs_1m_adj_sum,BVAR,ip,38,-0.762462,-1.749403,-0.157925
z_gcs_1m_adj_sum,BVAR,ip,39,-0.735907,-1.720723,-0.138708
z_gcs_1m_adj_sum,BVAR,ip,40,-0.707314,-1.713192,-0.118926
z_gcs_1m_adj_sum,BVAR,ip,41,-0.677055,-1.700522,-0.096870
z_gcs_1m_adj_sum,BVAR,ip,42,-0.645476,-1.701985,-0.067030
z_gcs_1m_adj_sum,BVAR,ip,43,-0.612894,-1.605518,-0.058220
z_gcs_1m_adj_sum,BVAR,ip,44,-0.579601,-1.562842,-0.032973
z_gcs_1m_adj_sum,BVAR,ip,45,-0.545860,-1.523789,-0.000685
z_gcs_1m_adj_sum,BVAR,ip,46,-0.511914,-1.467877,0.023563
z_gcs_1m_adj_sum,BVAR,ip,47,-0.477982,-1.423690,0.087574
z_gcs_1m_adj_sum,BVAR,ip,48,-0.444261,-1.353453,0.133843
z_gcs_1m_adj_sum,BVAR,hicp_sa,0,-0.037675,-0.075216,-0.002381
z_gcs_1m_adj_sum,BVAR,hicp_sa,1,-0.003065,-0.065232,0.061359
z_gcs_1m_adj_sum,BVAR,hicp_sa,2,0.024544,-0.056790,0.103167
z_gcs_1m_adj_sum,BVAR,hicp_sa,3,0.042940,-0.052996,0.137049
z_gcs_1m_adj_sum,BVAR,hicp_sa,4,0.051288,-0.058978,0.160181
z_gcs_1m_adj_sum,BVAR,hicp_sa,5,0.061997,-0.058240,0.194299
z_gcs_1m_adj_sum,BVAR,hicp_sa,6,0.072024,-0.061739,0.213346
